,sag_amplitude_0,sag_ratio1_0,sag_ratio2_0,sag_amplitude_1,sag_ratio1_1,sag_ratio2_1,sag_amplitude_2,sag_ratio1_2,sag_ratio2_2,sag_amplitude_3,sag_ratio1_3,sag_ratio2_3,Cell_id,hof_index,Cre_line
0,0.09971967447907559,0.04292474964769015,0.9570752503523099,0.47956001939684256,0.06972669380385815,0.9302733061961418,1.0935033576919864,0.09737882378264592,0.902621176217354,2.805618918078295,0.1455955238789577,0.8544044761210423,486132712,0,Rbp4-Cre_KL100
1,0.4606855310487816,0.05405559155904669,0.9459444084409533,2.2489430511736543,0.09194209854770766,0.9080579014522924,2.8011203121776305,0.09535489925216747,0.9046451007478326,,,,397353539,0,Nr5a1-Cre
2,0.024443935538400297,0.005611226708837352,0.9943887732911626,0.25848945654560396,0.021911446167721168,0.9780885538322789,1.338377620176317,0.03780422590785328,0.9621957740921467,,,,476451456,0,Nr5a1-Cre
3,0.010550352839402422,0.005485633689922496,0.9945143663100775,0.00014187570644708103,2.2575596301702064e-05,0.9999774244036983,0.04089919572240319,0.0037042346352326515,0.9962957653647674,0.5652906586302322,0.02749989931720728,0.9725001006827927,487664663,0,Rbp4-Cre_KL100
4,0.09992189341537028,0.03277567243132848,0.9672243275686715,0.44267584621697154,0.047969716309279445,0.9520302836907205,0.9479833171649688,0.06250637997126415,0.9374936200287358,1.4985926323378749,0.07190331292186306,0.928096687078137,471758398,0,Rbp4-Cre_KL100
5,0.34405601451304335,0.07038743178954004,0.92961256821046,0.6884984634369147,0.08486439414880162,0.9151356058511984,1.1111519363845588,0.09885807416415654,0.9011419258358435,1.5869462577800704,0.11125678310157527,0.8887432168984247,485838981,0,Rbp4-Cre_KL100
6,0.20657667501885157,0.04818347384408147,0.9518165261559185,0.8679674354071523,0.06973841114627638,0.9302615888537237,1.5816915394297695,0.07971550299546756,0.9202844970045324,2.0222882344488227,0.0758638379724052,0.9241361620275947,502267531,0,Nr5a1-Cre
7,0.033636843510265635,0.007923600246808413,0.9920763997531916,0.266061137039884,0.020768764592758702,0.9792312354072413,0.7448023837689135,0.0353005401775871,0.9646994598224129,1.2840981208440923,0.04428613814469636,0.9557138618553036,318733871,0,Nr5a1-Cre
8,0.07982891622533828,0.03984557736250782,0.9601544226374922,0.7402536754142375,0.07397565944700951,0.9260243405529905,1.2436660282022274,0.09054187739474724,0.9094581226052527,2.407855903065851,0.11630925907997737,0.8836907409200226,486025194,0,Rbp4-Cre_KL100
9,0.04753668572321601,0.019533504828395557,0.9804664951716044,0.19397561686962206,0.02649364943829653,0.9735063505617034,0.4018534671365046,0.033133781711560124,0.9668662182884399,0.6397778651107728,0.03798770513530725,0.9620122948646928,382982932,0,Nr5a1-Cre
10,0.0845727527352409,0.0317985219773256,0.9682014780226744,0.3505089154913037,0.043628660858894996,0.956371339141105,0.7147093127104966,0.054393656319936395,0.9456063436800636,1.0934405400586797,0.06073366582303243,0.9392663341769676,488117124,0,Rbp4-Cre_KL100
11,0.6438367543156289,0.05406350668548486,0.9459364933145151,1.3931202735757466,0.0709624958529138,0.9290375041470862,2.1825746690658008,0.08061962614126073,0.9193803738587393,3.0650107179008046,0.07456750280917067,0.9254324971908293,318808427,0,Nr5a1-Cre
12,0.027858882014385244,0.00902799883875954,0.9909720011612405,0.15923238965946496,0.017173813743399397,0.9828261862566006,0.4120843272976913,0.026888149613570625,0.9731118503864293,0.7345952097613662,0.034671618600839775,0.9653283813991602,502978383,0,Nr5a1-Cre
13,0.03370826217806666,0.02679373561324385,0.9732062643867562,0.215134767336437,0.024102119424361003,0.975897880575639,0.2857179722443277,0.02491797193735131,0.9750820280626487,0.3569054342910505,0.025497572047837962,0.974502427952162,469704261,0,Nr5a1-Cre
14,0.06963428307419406,0.0359542751880641,0.9640457248119358,0.27722224423057185,0.047148440169380725,0.9528515598306193,0.5931290472939281,0.061686070776630346,0.9383139292233696,1.0035166764485979,0.07609413275596957,0.9239058672440305,479704527,0,Rbp4-Cre_KL100
15,0.24083997613107044,0.05097360541080168,0.9490263945891984,0.49979463290686965,0.06386848013098889,0.9361315198690111,0.83407168386195,0.07678210083624784,0.9232178991637522,1.231834102684104,0.08906913962860646,0.9109308603713936,485835016,0,Rbp4-Cre_KL100
16,0.021991173486455295,0.005060771721655735,0.9949392282783442,0.2476523106808628,0.019963007643597912,0.9800369923564021,0.7300866938970358,0.03694454548304267,0.9630554545169573,1.2566413073266745,0.04736106940622409,0.9526389305937759,476455864,0,Nr5a1-Cre
17,0.6601984574495816,0.032818218887362534,0.9671817811126374,0.6271101480246557,0.022824734132502997,0.977175265867497,0.22683592033277478,0.0065428643307353035,0.9934571356692647,6.89272326894752e-05,1.628087546961988e-06,0.999998371912453,483020137,0,Nr5a1-Cre
