,types
Cell_id,object
Ra.all,float64
cm.apical,float64
cm.axonal,float64
cm.basal,float64
cm.somatic,float64
decay_CaDynamics.axonal,float64
decay_CaDynamics.somatic,float64
e_pas.all,float64
g_pas.all,float64
gamma_CaDynamics.axonal,float64
gamma_CaDynamics.somatic,float64
gbar_Ca_HVA.axonal,float64
gbar_Ca_HVA.somatic,float64
gbar_Ca_LVA.axonal,float64
gbar_Ca_LVA.somatic,float64
gbar_Ih.apical,float64
gbar_Ih.basal,float64
gbar_Ih.somatic,float64
gbar_Im.apical,float64
gbar_Im.basal,float64
gbar_Im_v2.basal,float64
gbar_K_Pst.axonal,float64
gbar_K_Pst.somatic,float64
gbar_K_Tst.axonal,float64
gbar_K_Tst.somatic,float64
gbar_Kd.axonal,float64
gbar_Kv2like.axonal,float64
gbar_Kv3_1.apical,float64
gbar_Kv3_1.axonal,float64
gbar_Kv3_1.basal,float64
gbar_Kv3_1.somatic,float64
gbar_NaTa_t.axonal,float64
gbar_NaTs2_t.apical,float64
gbar_NaTs2_t.basal,float64
gbar_NaTs2_t.somatic,float64
gbar_NaV.axonal,float64
gbar_NaV.basal,float64
gbar_NaV.somatic,float64
gbar_Nap_Et2.axonal,float64
gbar_Nap_Et2.somatic,float64
gbar_SK.axonal,float64
gbar_SK.somatic,float64
hof_index,int64
Area,object
Cre_line,object
Dendrite_type,object
Explained_variance_Peri,object
Explained_variance_Released_AllActive,object
Feature_avg_Peri,object
Feature_avg_Released_AllActive,object
Layer,object
Machine,object
Perisomatic_id,object
Released_AllActive_id,object
Species,object
AHP_depth,float64
AP_amplitude_from_voltagebase,float64
AP_width,float64
ISI_CV,float64
Spikecount,float64
adaptation_index2,float64
amp,float64
mean_frequency,float64
steady_state_voltage,float64
stim_name,object
time_to_first_spike,float64
voltage_base,float64
area.all,float64
area.apical_dendrite,float64
area.axon,float64
area.basal_dendrite,float64
length.all,float64
length.apical_dendrite,float64
length.axon,float64
length.basal_dendrite,float64
soma_radius,float64
soma_suface,float64
taper_rate.all,float64
taper_rate.apical_dendrite,float64
taper_rate.axon,float64
taper_rate.basal_dendrite,float64
volume.all,float64
volume.apical_dendrite,float64
volume.axon,float64
volume.basal_dendrite,float64
Explained_Variance,float64
Feature_Avg_Generalization,float64
Feature_Avg_Train,float64
Seed_Index,object
Unnamed: 0,float64
annot_layer,object
clustering_1,float64
clustering_2,float64
cre,object
dendrite_type,object
morph,object
recon_status,object
structure_layer,object
x,float64
y,float64
clustering_3,float64
ephys_cluster,object
me_type,object
Broad_Cre_line,object
