"sample_id","subclass_label","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcnab1","Kcnip1","Kcnip2","Hcn1","Hcn2","Hcn3","Cacna1g","Scn1a","Scn3a","Scn8a"
"LS-14690_S03_E1-50","L4",4.48568507189184,0,0,6.2195193971175,7.13536422431964,0,7.45140818987489,0,0,3.90295503820047,8.85935881606218,6.7551553106167,4.48568507189184,8.71026747254011
"LS-14690_S05_E1-50","L4",4.79819419793708,0,6.64076988523919,5.01802290605063,0,0,7.4296498366132,4.57878702868434,0,0,0,6.22739786493204,1.85473603697329,8.50814626262078
"LS-14690_S06_E1-50","L4",6.18585053328447,0,0,3.60511063915382,0,0,6.97099088825322,4.33245382547874,0,0,5.17399995248745,6.44557824257243,7.19959079041737,9.01890104798783
"LS-14690_S07_E1-50","L4",5.07562182519018,0,8.82792888468162,4.99332344318567,6.39587831970156,0,5.39699293512728,0,0,0,0.952271464482626,7.84583245295962,0,9.7749221642036
"LS-14690_S08_E1-50","L4",4.78493039005286,0,5.56390505737077,0,6.16179422270988,0,7.58714486266339,3.33757965149593,0,0,4.97101909827873,6.58325187817145,6.20696806618562,7.39881952684439
"LS-14690_S09_E1-50","L4",5.71857247840398,0,0,7.12352781082449,0,0,0,0,0,0,0,4.95240175536077,6.25588279567759,8.20171084599967
"LS-14690_S11_E1-50","L2/3 IT",0,0,5.20483545670842,5.0212676119374,0,0,7.02987165948908,0.704433334532934,0,0,1.17569001611288,8.39996105429924,6.38310098599051,7.87759502451838
"LS-14690_S12_E1-50","L4",1.92852611569012,0,7.90849983199368,0,7.42799431387255,0,7.99039423067103,0,0,0,7.01574668611043,5.97146407295981,0,7.37409473575907
"LS-14690_S13_E1-50","L4",1.91789937725165,0,7.70375205587038,7.62470924053524,7.29952692657022,0,7.14759888405013,0.945788616097247,0,0,2.71313472717922,9.28409374620709,0,7.42146268159349
"LS-14690_S14_E1-50","L4",3.08373914518165,0,5.14564527188773,3.519708567002,3.08373914518165,0,8.57321897784752,6.12512248693026,0,0,6.15570953995407,9.05918206653841,2.8037377507922,9.01815502619387
"LS-14690_S15_E1-50","L4",4.49704285040264,0,4.80613611450793,0,0,0,7.26553078350458,3.66559218877639,0,0,5.8715863699006,6.57617810069508,3.1847415287534,7.77221073889546
"LS-14690_S17_E1-50","NP",4.5621609969875,0,5.12662188024913,0,4.21693478966715,9.29791401364319,0,7.64991997679908,4.8405210456678,0,0,9.05023618703481,4.96184966102857,9.28343759575247
"LS-14690_S20_E1-50","L5 IT",2.06584766009595,0,6.95060560417584,0,7.65084810241588,0,0,7.04936349271821,1.37484446420109,0,0.845349338171893,8.3132753371048,5.67784884242427,7.62778802800134
"LS-14690_S26_E1-50","NP",0,0,5.24598124062048,0,0,4.964898186373,0,7.12471987491623,0,0,5.61074295296501,8.25657365420715,8.36710873039538,8.94324944479825
"LS-14690_S28_E1-50","L4",0,0,6.1517310114331,5.84022599647327,7.18431747416564,0,7.9874150071726,0,1.64347423705133,0,3.247424923059,8.72693466433118,6.23545991562752,7.67892111000589
"LS-14690_S30_E1-50","NP",0.917718920818151,0,6.95069453494611,0,8.14843623471163,8.6382162063082,0,0,0,0,5.4779095603855,7.8809870416002,3.65060808931939,7.69541782713035
