,specimen_id,annot_layer,clustering_1,clustering_2,cre,dendrite_type,morph,recon_status,structure_layer,x,y,clustering_3,ephys_cluster,me_type
33,320421014,,,5,Pvalb-IRES-Cre,aspiny,,,5,80.520424,10.102274,10,Inh_9,
34,320455763,,,0,Pvalb-IRES-Cre,aspiny,,,5,86.372185,-32.403084,12,Inh_13,
35,320466776,,,2,Pvalb-IRES-Cre,aspiny,,,2/3,78.04807,-22.21998,12,Inh_13,
36,320466871,5,,2,Pvalb-IRES-Cre,aspiny,MULTI,Yes,5,99.54408,-22.030613,11,Inh_12,
37,320639930,,,19,Rorb-IRES2-Cre,spiny,,,4,-56.726974,11.618983,7,Exc_3,
38,320654829,5,,9,Rorb-IRES2-Cre,spiny,TUFTED,Yes,5,-29.91781,4.5529366,8,Exc_1,
39,320668841,,,23,Scnn1a-Tg2-Cre,spiny,,,4,-58.29044,-18.235664,7,Exc_3,
40,320668879,4,,21,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,-45.275578,-31.449821,7,Exc_3,ME_Exc_13
41,320836481,,,21,Scnn1a-Tg3-Cre,spiny,,,5,-50.36766,-33.68672,7,Exc_3,
42,320880293,,,19,Scnn1a-Tg3-Cre,spiny,,,4,-33.922005,23.934332,7,Exc_3,
43,321013314,,,23,Scnn1a-Tg3-Cre,spiny,,,5,-45.024174,-14.316965,7,Exc_3,
44,321016044,,,2,Pvalb-IRES-Cre,aspiny,,,5,85.43079,-17.62718,11,Inh_11,
45,321019600,,,0,Pvalb-IRES-Cre,aspiny,,,5,81.216286,-37.51338,9,Inh_10,
46,321023397,5,,2,Pvalb-IRES-Cre,aspiny,MULTI,Yes,5,93.550514,-14.500648,11,Inh_11,
47,321704734,,,0,Pvalb-IRES-Cre,aspiny,,,5,76.06895,-37.513794,9,Inh_10,
48,321707833,,,1,Pvalb-IRES-Cre,aspiny,,,5,93.55041,0.23087378,13,Inh_12,
49,321707905,5,,1,Pvalb-IRES-Cre,aspiny,BC,Yes,5,71.859,-8.155781,13,Inh_12,
50,321708130,5,,2,Pvalb-IRES-Cre,aspiny,BC,Yes,5,96.7709,-14.62331,11,Inh_11,ME_Inh_6
51,321893798,,,19,Nr5a1-Cre,spiny,,,4,-55.31066,7.1635756,7,Exc_3,
52,321906005,4,,20,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-65.93474,-3.7214801,7,Exc_3,ME_Exc_18
53,321923492,,,24,Nr5a1-Cre,spiny,,,4,-71.6693,-14.845194,7,Exc_3,
54,321923685,4,,0,Nr5a1-Cre,aspiny,BC,Yes,4,78.98208,-39.05847,9,Inh_10,
55,322197160,5,,12,Sst-IRES-Cre,aspiny,MARTINOTTI,Yes,5,63.1914,26.965143,2,Inh_2,
56,322197295,,,10,Sst-IRES-Cre,aspiny,,,4,51.566574,24.345758,2,Inh_5,
57,322229594,,,15,Sst-IRES-Cre,aspiny,,,5,47.027714,3.4225013,1,Inh_6,
58,322246422,,,15,Sst-IRES-Cre,aspiny,,,4,55.32396,6.146875,1,Inh_6,
59,322274121,,,24,Ntsr1-Cre_GN220,spiny,,,6,-8.578,-4.494045,7,Exc_3,
60,322297406,,,22,Ntsr1-Cre_GN220,spiny,,,6,-37.32832,-3.9573362,7,Exc_3,
61,322500634,,,15,Sst-IRES-Cre,aspiny,,,5,57.69209,2.075381,1,Inh_6,
62,322507839,,,10,Sst-IRES-Cre,aspiny,,,5,40.916183,12.706101,2,Inh_5,
63,322515253,,,14,Sst-IRES-Cre,aspiny,,,5,57.709976,26.658766,2,Inh_7,
64,322520586,,,1,Pvalb-IRES-Cre,aspiny,,,5,79.30624,3.5677488,13,Inh_12,
65,322536988,,,15,Sst-IRES-Cre,aspiny,,,6,60.44729,-11.36361,1,Inh_6,
66,322723785,,,19,Rorb-IRES2-Cre,spiny,,,4,-53.865704,10.69709,7,Exc_3,
67,322761772,,,20,Rorb-IRES2-Cre,spiny,,,4,-65.70153,-4.6244082,7,Exc_3,
68,322762730,,,22,Ntsr1-Cre_GN220,spiny,,,5,-7.882517,9.948285,7,Exc_3,
69,322781822,,,21,Ntsr1-Cre_GN220,spiny,,,5,-39.417194,-48.37346,7,Exc_3,
70,323452196,6a,,0,Sst-IRES-Cre,aspiny,BC - L,Yes,6,84.17561,-37.029194,9,Inh_10,ME_Inh_11
71,323475862,5,,13,Sst-IRES-Cre,aspiny,NON - MARTINOTTI,Yes,5,50.5985,25.514809,2,Inh_5,ME_Inh_26
72,323501938,,,13,Sst-IRES-Cre,aspiny,,,5,43.210052,46.39187,0,Inh_4,
73,323523338,,,3,Gad2-IRES-Cre,aspiny,,,5,67.724,26.857512,10,Inh_9,
74,323535089,5,,10,Gad2-IRES-Cre,aspiny,MULTI,Yes,5,57.31999,28.208092,2,Inh_3,
75,323540736,5,,1,Gad2-IRES-Cre,aspiny,BTC,Yes,5,73.03257,-24.369726,13,Inh_13,
76,323777372,,,22,Scnn1a-Tg3-Cre,spiny,,,5,-19.222626,-17.340025,7,Exc_3,
77,323788096,,,24,Scnn1a-Tg3-Cre,spiny,,,2/3,-18.660643,-11.633008,7,Exc_3,
78,323834998,6a,,15,Scnn1a-Tg3-Cre,aspiny,MARTINOTTI,Yes,6,38.808304,-1.5594693,1,Inh_6,
79,323838579,,,22,Scnn1a-Tg3-Cre,spiny,,,4,-61.236675,-3.2668993,7,Exc_3,
80,323865917,5,,23,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,5,-64.76921,21.501007,7,Exc_3,ME_Exc_17
81,324025297,4,,23,Rorb-IRES2-Cre,spiny,TUFTED,Yes,4,-42.93209,-25.083357,7,Exc_3,ME_Exc_17
82,324025371,4,,22,Rorb-IRES2-Cre,spiny,TUFTED,Yes,4,-16.955442,-13.862009,7,Exc_3,ME_Exc_17
83,324032509,,,20,Rorb-IRES2-Cre,spiny,,,4,-63.119934,-17.92182,7,Exc_3,
84,324053519,,,21,Rorb-IRES2-Cre,spiny,,,4,-48.114883,-33.81429,7,Exc_3,
85,324053705,,,19,Rorb-IRES2-Cre,spiny,,,5,-57.37494,21.36338,7,Exc_3,
86,324065524,,,24,Rorb-IRES2-Cre,spiny,,,4,-14.030642,-14.824913,7,Exc_3,
87,324256803,,,10,Sst-IRES-Cre,aspiny,,,5,52.242767,3.8706198,2,Inh_5,
88,324257146,4,,10,Sst-IRES-Cre,aspiny,MARTINOTTI,Yes,4,33.906136,11.631213,3,Inh_3,
89,324266146,,,15,Sst-IRES-Cre,sparsely spiny,,,2/3,43.320007,1.0710241,1,Inh_6,
90,324266189,2/3,,15,Sst-IRES-Cre,sparsely spiny,MARTINOTTI,Yes,2/3,42.831436,1.9491327,1,Inh_6,ME_Inh_25
91,324466628,,,14,Sst-IRES-Cre,aspiny,,,5,60.68206,19.530426,2,Inh_7,
92,324466858,5,,15,Sst-IRES-Cre,sparsely spiny,MULTI,Yes,5,32.758522,6.7221017,1,Inh_6,
93,324493977,2/3,,15,Sst-IRES-Cre,aspiny,MARTINOTTI,Yes,2/3,57.6717,-7.893898,12,Inh_6,ME_Inh_15
94,324495712,,,12,Sst-IRES-Cre,aspiny,,,5,-6.198305,41.307648,2,Inh_2,
95,324521027,4,,23,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,-56.681557,-16.522074,7,Exc_3,ME_Exc_13
96,324522388,,,15,Sst-IRES-Cre,aspiny,,,6,54.650818,5.5382156,1,Inh_6,
97,324532703,,,8,Scnn1a-Tg2-Cre,spiny,,,2/3,-54.196117,21.80606,8,Exc_1,
98,325158873,,,20,Scnn1a-Tg2-Cre,spiny,,,5,-76.16122,-21.10271,7,Exc_3,
99,325464516,,,21,Scnn1a-Tg2-Cre,spiny,,,4,-40.037098,-19.759342,7,Exc_3,
100,325471170,,,9,Scnn1a-Tg2-Cre,spiny,,,4,-25.622456,4.4872804,8,Exc_1,
101,325479788,,,21,Scnn1a-Tg2-Cre,spiny,,,5,-58.49547,-28.447346,7,Exc_3,
102,325480372,,,19,Scnn1a-Tg2-Cre,spiny,TUFTED,No,5,-50.972248,-7.207937,7,Exc_3,
103,325815086,,,23,Rbp4-Cre_KL100,spiny,,,4,-24.099657,-25.704605,7,Exc_3,
104,325853048,,,23,Rbp4-Cre_KL100,spiny,,,5,-58.65253,-22.214405,7,Exc_3,
105,325903081,,,16,Rbp4-Cre_KL100,spiny,,,2/3,-47.22063,-50.43999,5,Exc_3,
106,325919795,,,24,Rbp4-Cre_KL100,spiny,,,6,-8.733548,-4.5170546,7,Exc_3,
107,325941643,6a,,9,Rbp4-Cre_KL100,spiny,CORTICO-CORTICO TYPE,Yes,6,-47.357788,-3.5119514,7,Exc_3,ME_Exc_6
108,326508751,,,18,Rbp4-Cre_KL100,spiny,,,5,-57.721405,34.748882,6,Exc_4,
109,326734770,,,17,Htr3a-Cre_NO152,aspiny,,,2/3,8.043495,-75.05085,5,Inh_1,
110,326774520,,,10,Htr3a-Cre_NO152,aspiny,,,4,25.508991,37.108486,2,Inh_3,
111,326786924,,,15,Htr3a-Cre_NO152,aspiny,,,2/3,8.153755,1.2779639,1,Inh_3,
112,327566447,,,12,Htr3a-Cre_NO152,aspiny,,,4,24.592697,48.790245,2,Inh_2,
113,327644217,4,,10,Htr3a-Cre_NO152,aspiny,DBC/BTC - TRI,Yes,4,21.088087,39.13383,2,Inh_3,
114,327648537,,,16,Htr3a-Cre_NO152,aspiny,,,5,14.280126,-64.160484,5,Inh_1,
115,327679841,,,17,Htr3a-Cre_NO152,aspiny,,,5,9.524565,-68.84237,5,Inh_1,
116,327706437,,,11,Htr3a-Cre_NO152,aspiny,,,2/3,-34.082905,20.543905,3,Inh_3,
117,327962063,2/3,,11,Htr3a-Cre_NO152,aspiny,DBC,Yes,2/3,8.543862,18.260979,3,Inh_3,ME_Inh_2
118,327997484,,,16,Htr3a-Cre_NO152,aspiny,,,5,7.7455873,-56.165222,5,Inh_1,
119,328015342,,,15,Sst-IRES-Cre,aspiny,,,5,51.78115,0.41194978,1,Inh_6,
120,328031983,,,15,Sst-IRES-Cre,aspiny,,,5,55.591324,0.18824847,1,Inh_6,
121,328093618,,,12,Sst-IRES-Cre,aspiny,,,5,49.33462,22.822813,2,Inh_2,
122,328535908,,,10,Sst-IRES-Cre,aspiny,,,5,41.794025,25.155376,2,Inh_5,
123,328549885,,,13,Sst-IRES-Cre,aspiny,,,6,48.89003,37.86659,0,Inh_4,
124,328876201,,,13,Sst-IRES-Cre,aspiny,,,5,43.25072,30.940435,0,Inh_4,
125,328954223,,,13,Sst-IRES-Cre,aspiny,,,6,7.4930797,23.773718,0,Inh_4,
126,329224678,,,14,Sst-IRES-Cre,aspiny,,,5,58.62763,20.337784,2,Inh_7,
127,329241587,,,14,Sst-IRES-Cre,aspiny,,,4,50.75596,20.07399,2,Inh_7,
128,329254830,,,3,Sst-IRES-Cre,aspiny,,,5,67.30678,19.987297,2,Inh_7,
129,329322109,,,2,Sst-IRES-Cre,aspiny,,,6,60.694454,-11.579753,12,Inh_13,
130,329549957,,,19,Rorb-IRES2-Cre,spiny,,,5,-49.16593,11.804394,7,Exc_3,
131,329550137,4,,24,Rorb-IRES2-Cre,spiny,TUFTED,Yes,4,-21.592276,-27.393877,7,Exc_3,ME_Exc_17
132,329550277,4,,20,Rorb-IRES2-Cre,spiny,SPINY STELLATE,Yes,4,-69.20753,-0.24248202,7,Exc_3,ME_Exc_19
133,329554301,,,19,Rorb-IRES2-Cre,spiny,,,5,-71.75448,8.619094,7,Exc_3,
134,329554392,,,9,Rorb-IRES2-Cre,spiny,,,5,-22.225819,23.16773,8,Exc_2,
135,329557305,,,19,Rorb-IRES2-Cre,spiny,,,4,-70.28896,16.368338,7,Exc_3,
136,330154280,,,4,Pvalb-IRES-Cre,aspiny,,,5,84.4298,-0.5917592,10,Inh_8,
137,333604946,2/3,,2,Pvalb-IRES-Cre,aspiny,BC,Yes,2/3,84.64212,-15.903259,12,Inh_13,ME_Inh_12
138,333785962,5,,3,Pvalb-IRES-Cre,aspiny,BC,Yes,5,66.8863,26.970205,2,Inh_2,ME_Inh_13
139,336676216,5,,3,Pvalb-IRES-Cre,aspiny,MULTI,Yes,5,76.002594,21.997004,10,Inh_9,
140,341016267,,,1,Pvalb-IRES-Cre,aspiny,,,2/3,81.39075,-40.030373,13,Inh_10,
141,341442651,2/3,,1,Pvalb-IRES-Cre,aspiny,BC,Yes,2/3,70.08661,-17.835918,13,Inh_12,ME_Inh_10
142,341459814,,,1,Pvalb-IRES-Cre,aspiny,,,4,70.76882,-9.667098,13,Inh_12,
143,348592897,4,,23,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,-47.63935,-14.542307,7,Exc_3,ME_Exc_13
144,349593629,,,24,Scnn1a-Tg2-Cre,spiny,,,4,-22.725359,-21.639023,7,Exc_3,
145,349621141,5,,19,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,-55.947765,6.3412604,7,Exc_3,ME_Exc_17
146,354190013,5,,9,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,5,-22.744646,24.13408,8,Exc_3,ME_Exc_13
147,354833767,4,,12,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-32.924686,23.371237,4,Exc_1,ME_Exc_20
148,356237593,,,20,Nr5a1-Cre,spiny,,,2/3,-67.56812,-3.8263521,7,Exc_3,
149,367567889,,,19,Nr5a1-Cre,spiny,,,4,-54.111282,11.727619,7,Exc_3,
150,369697038,,,20,Nr5a1-Cre,spiny,,,4,-78.46322,4.4180923,7,Exc_3,
151,370351753,4,,20,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-66.02538,-2.8679776,7,Exc_3,ME_Exc_18
152,370694659,,,20,Nr5a1-Cre,spiny,,,2/3,-71.38348,7.571536,7,Exc_3,
153,382982932,2/3,,22,Nr5a1-Cre,spiny,TUFTED,Yes,2/3,-53.854557,-1.1377369,7,Exc_3,ME_Exc_14
154,385492488,,,20,Nr5a1-Cre,spiny,,,4,-69.50311,5.7771244,7,Exc_3,
155,386049446,4,,20,Nr5a1-Cre,spiny,TUFTED,Yes,4,-63.78349,0.75687486,7,Exc_3,ME_Exc_17
156,386970660,4,,23,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-66.22613,-8.35232,7,Exc_3,ME_Exc_18
157,388874977,,,14,Sst-IRES-Cre,aspiny,,,5,57.260292,21.973919,2,Inh_7,
158,395785266,,,19,Scnn1a-Tg3-Cre,spiny,,,4,-50.63342,4.985449,7,Exc_3,
159,395830185,4,,20,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,4,-73.43629,-8.385207,7,Exc_3,ME_Exc_17
160,395851985,,,20,Scnn1a-Tg3-Cre,spiny,,,5,-72.08425,-4.789917,7,Exc_3,
161,396274594,,,1,Pvalb-IRES-Cre,aspiny,,,5,74.87631,-5.3179216,10,Inh_12,
162,396369826,,,2,Pvalb-IRES-Cre,aspiny,,,4,79.13143,-19.628717,12,Inh_13,
163,396608557,5,,4,Pvalb-IRES-Cre,aspiny,BC,Yes,5,89.67191,-4.969787,10,Inh_8,ME_Inh_9
164,396650742,,,1,Pvalb-IRES-Cre,aspiny,,,4,80.11015,-4.953077,13,Inh_12,
165,396652279,,,1,Pvalb-IRES-Cre,aspiny,,,5,73.29654,-28.011486,13,Inh_13,
166,396687610,,,1,Pvalb-IRES-Cre,aspiny,,,2/3,78.52441,-5.1532283,13,Inh_12,
167,396903166,,,19,Scnn1a-Tg3-Cre,spiny,,,5,-33.87566,13.151063,7,Exc_3,
168,396903227,,,22,Scnn1a-Tg3-Cre,spiny,,,4,-26.848179,-20.167149,7,Exc_3,
169,396939115,,,10,Gad2-IRES-Cre,aspiny,,,5,41.746887,13.225144,2,Inh_5,
170,396963717,,,5,Gad2-IRES-Cre,aspiny,,,4,80.9578,6.273421,10,Inh_9,
171,396968721,5,,15,Gad2-IRES-Cre,aspiny,MARTINOTTI,Yes,5,55.706226,3.3214555,1,Inh_6,
172,397129612,,,4,Gad2-IRES-Cre,aspiny,,,5,84.56711,1.3720751,10,Inh_8,
173,397220859,,,5,Gad2-IRES-Cre,aspiny,,,4,83.49798,8.108296,10,Inh_9,
174,397243949,,,5,Gad2-IRES-Cre,aspiny,,,4,89.39943,9.106095,10,Inh_9,
175,397248752,,,16,Gad2-IRES-Cre,aspiny,,,4,4.8743963,-57.106403,5,Inh_1,
176,397345294,,,19,Nr5a1-Cre,spiny,,,2/3,-33.06791,15.952915,7,Exc_3,
177,397348126,,,19,Nr5a1-Cre,spiny,,,5,-51.341095,13.2852,7,Exc_3,
178,397351623,4,,20,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-18.745443,1.1561183,7,Exc_3,ME_Exc_18
179,397353539,4,,19,Nr5a1-Cre,spiny,TUFTED,Yes,2/3,-51.90022,11.756694,7,Exc_3,ME_Exc_16
180,397354239,,,20,Nr5a1-Cre,spiny,,,4,-71.15904,6.3211856,7,Exc_3,
181,422055317,,,23,Nr5a1-Cre,spiny,,,4,-55.981083,-15.52377,7,Exc_3,
182,422738880,4,,20,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-77.765205,5.0657296,7,Exc_3,ME_Exc_18
183,439024551,,,16,Htr3a-Cre_NO152,aspiny,,,2/3,5.502973,-68.5288,5,Inh_1,
184,439372920,,,16,Htr3a-Cre_NO152,aspiny,,,2/3,5.0223646,-54.665417,5,Inh_1,
185,441000782,,,16,Htr3a-Cre_NO152,aspiny,,,5,6.1123657,-58.19061,5,Inh_1,
186,442627661,,,16,Htr3a-Cre_NO152,aspiny,,,5,7.0787625,-72.7303,5,Inh_1,
187,464079491,,,23,Scnn1a-Tg2-Cre,spiny,,,5,-56.007294,-13.776763,7,Exc_3,
188,464188580,2/3,,16,Htr3a-Cre_NO152,aspiny,NGC,Yes,2/3,4.85111,-58.669525,5,Inh_1,
189,464191630,,,10,Htr3a-Cre_NO152,aspiny,,,2/3,24.685457,44.119175,2,Inh_3,
190,464198958,5,,7,Sst-IRES-Cre,aspiny,MULTI,Yes,5,6.791548,-8.620552,3,Inh_3,
191,464212183,5,,15,Sst-IRES-Cre,aspiny,MULTI,Yes,5,33.87598,-1.3517063,1,Inh_6,
192,464290292,,,2,Pvalb-IRES-Cre,aspiny,,,5,92.804085,-13.856254,11,Inh_11,
193,464326158,,,21,Scnn1a-Tg3-Cre,spiny,,,5,-30.17031,-17.596346,7,Exc_3,
194,464368713,,,1,Pvalb-IRES-Cre,aspiny,,,5,98.30132,-19.272284,13,Inh_12,
195,465924786,,,19,Nr5a1-Cre,spiny,,,4,-62.41986,3.8423629,7,Exc_3,
196,466114829,,,5,Pvalb-IRES-Cre,aspiny,,,5,88.642235,9.7005205,10,Inh_9,
197,466245544,6a,,4,Pvalb-IRES-Cre,aspiny,BC,Yes,6,91.82266,4.6539836,10,Inh_8,ME_Inh_9
198,466271455,,,7,Sst-IRES-Cre,aspiny,,,5,42.63358,30.555443,3,Inh_3,
199,466378900,,,23,Rorb-IRES2-Cre,spiny,,,4,-62.082012,-8.933827,7,Exc_3,
200,466431949,,,9,Scnn1a-Tg3-Cre,spiny,,,5,-24.80478,11.394088,8,Exc_3,
201,466632464,6a,,22,Ntsr1-Cre_GN220,spiny,CORTICO-THALAMIC TYPE,Yes,6,-7.88194,9.948426,7,Exc_3,ME_Exc_2
202,466664172,5,,10,Sst-IRES-Cre,aspiny,NON - MARTINOTTI,Yes,5,39.915905,19.115582,2,Inh_5,
203,466705337,,,13,Gad2-IRES-Cre,aspiny,,,6,41.544746,37.416103,0,Inh_4,
204,466800233,,,19,Rorb-IRES2-Cre,spiny,,,4,-54.298527,8.742317,7,Exc_3,
205,466827702,,,20,Scnn1a-Tg3-Cre,spiny,,,5,-68.277725,-0.25593853,7,Exc_3,
206,467003163,,,19,Rorb-IRES2-Cre,spiny,,,4,-57.867714,20.131468,7,Exc_3,
207,467357834,,,20,Rorb-IRES2-Cre,spiny,,,4,-60.866047,-14.145299,7,Exc_3,
208,467703703,4,,20,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,-72.69393,-7.914589,7,Exc_3,ME_Exc_17
209,467782778,5,,1,unlabeled,aspiny,TRANSLAMINAR,Yes,5,68.18542,-22.829075,13,Inh_12,
210,467831649,,,19,Scnn1a-Tg2-Cre,spiny,,,4,-49.45509,3.9753726,7,Exc_3,
211,468054671,,,20,Scnn1a-Tg3-Cre,spiny,,,4,-72.5311,-12.025141,7,Exc_3,
212,468120757,5,,8,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,5,-30.058136,13.078516,7,Exc_2,ME_Exc_13
213,468193142,4,,19,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,4,-33.53116,15.087514,7,Exc_3,ME_Exc_17
214,469610831,5,,2,Pvalb-IRES-Cre,aspiny,BC,Yes,5,95.647964,-17.138088,11,Inh_11,
215,469614747,,,2,Pvalb-IRES-Cre,aspiny,,,2/3,76.284325,-23.552649,12,Inh_13,
216,469661756,,,23,Scnn1a-Tg2-Cre,spiny,,,4,-47.887424,-46.208694,7,Exc_3,
217,469704261,4,,12,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-11.524652,39.015892,4,Exc_1,ME_Exc_4
218,469720505,,,20,Nr5a1-Cre,spiny,,,5,-63.43381,-3.0837748,7,Exc_3,
219,469734859,,,19,Nr5a1-Cre,spiny,,,4,-65.69295,-0.4525073,7,Exc_3,
220,469753383,2/3,,16,Htr3a-Cre_NO152,aspiny,NGC,Yes,2/3,6.6765842,-63.595795,5,Inh_1,
221,469761118,,,19,Rorb-IRES2-Cre,spiny,,,5,-50.481567,4.771091,7,Exc_3,
222,469763389,,,21,Rorb-IRES2-Cre,spiny,,,4,-54.168552,-2.8722086,7,Exc_3,
223,469793303,4,,23,Scnn1a-Tg3-Cre,spiny,NON - TUFTED,Yes,4,-68.58154,-15.8207655,7,Exc_3,ME_Exc_18
224,469798159,4,,23,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,4,-64.790146,-10.637249,7,Exc_3,ME_Exc_18
225,469800845,,,20,Scnn1a-Tg3-Cre,spiny,,,4,-77.58943,-14.220707,7,Exc_3,
226,469801138,,,1,Pvalb-IRES-Cre,aspiny,,,4,69.99437,-28.39699,13,Inh_13,
227,469801569,5,,2,Pvalb-IRES-Cre,aspiny,BC,Yes,5,96.327065,-17.601492,11,Inh_11,
228,469803003,,,20,Scnn1a-Tg3-Cre,spiny,,,4,-70.585236,1.614678,7,Exc_3,
229,469803127,,,20,Scnn1a-Tg3-Cre,spiny,,,5,-75.81859,-11.782521,7,Exc_3,
230,469832490,,,9,Scnn1a-Tg3-Cre,spiny,,,4,-48.233223,-1.2610145,8,Exc_3,
231,469864405,,,20,Scnn1a-Tg3-Cre,spiny,,,4,-75.8235,-15.892815,7,Exc_3,
232,470062597,,,2,Pvalb-IRES-Cre,aspiny,,,5,101.93556,-17.588663,11,Inh_11,
233,470098860,,,20,Scnn1a-Tg3-Cre,spiny,,,4,-68.22334,-2.6869402,7,Exc_3,
234,470581375,,,15,Sst-IRES-Cre,aspiny,,,5,-20.997847,15.914654,7,Inh_6,
235,471077468,4,,0,Pvalb-IRES-Cre,aspiny,BC,Yes,4,78.46641,-28.278013,12,Inh_13,ME_Inh_12
236,471077857,5,,2,Pvalb-IRES-Cre,aspiny,BC,Yes,5,93.732956,2.4348812,11,Inh_9,ME_Inh_13
237,471085676,5,,4,Pvalb-IRES-Cre,aspiny,BC,Yes,5,92.2469,-4.8366513,10,Inh_8,
238,471087830,6a,,4,Pvalb-IRES-Cre,aspiny,BC,Yes,6,83.00233,-1.4299902,10,Inh_8,ME_Inh_9
