,specimen_id,annot_layer,clustering_1,clustering_2,cre,dendrite_type,morph,recon_status,structure_layer,x,y,clustering_3,ephys_cluster,me_type
0,313860745,,,24,Rorb-IRES2-Cre,spiny,,,5,-11.03764,-31.633457,7,Exc_3,
1,313861411,,,0,Pvalb-IRES-Cre,aspiny,,,4,76.34894,-33.68708,9,Inh_10,
2,313861539,,,1,Pvalb-IRES-Cre,aspiny,,,4,94.98606,-1.1910031,10,Inh_9,
3,313861608,5,,4,Pvalb-IRES-Cre,aspiny,MULTI,Yes,5,83.96957,-2.2071338,10,Inh_8,
4,313861677,,,21,Rorb-IRES2-Cre,spiny,,,4,-31.826454,-35.72429,7,Exc_3,
5,313861794,,,19,Scnn1a-Tg3-Cre,spiny,,,4,-47.77723,14.731674,7,Exc_3,
6,313861828,,,7,Scnn1a-Tg3-Cre,spiny,NON - TUFTED,No,4,-35.77573,-21.051296,7,Exc_3,
7,313861934,,,19,Scnn1a-Tg3-Cre,spiny,,,4,-49.015594,12.812342,7,Exc_3,
8,313862022,4,,9,Scnn1a-Tg2-Cre,spiny,TUFTED,Yes,4,3.0935004,34.659718,8,Exc_3,ME_Exc_6
9,313862134,,,0,Sst-IRES-Cre,aspiny,,,5,87.674416,-33.691463,12,Inh_13,
10,313862167,4,,15,Sst-IRES-Cre,aspiny,MARTINOTTI,Yes,4,58.360493,-12.162929,12,Inh_13,ME_Inh_15
11,313862274,,,15,Sst-IRES-Cre,aspiny,,,2/3,49.687286,13.386803,1,Inh_6,
12,313862306,6a,,10,Sst-IRES-Cre,aspiny,MARTINOTTI,Yes,6,43.67572,19.593435,2,Inh_5,
13,313862373,6a,,3,Pvalb-IRES-Cre,aspiny,BC,Yes,6,64.694756,23.203344,2,Inh_2,ME_Inh_7
14,314529406,,,20,Rorb-IRES2-Cre,spiny,,,4,-74.28014,-9.402451,7,Exc_3,
15,314617802,,,23,Rorb-IRES2-Cre,spiny,,,5,-38.144215,-28.257172,7,Exc_3,
16,314642645,4,,20,Rorb-IRES2-Cre,spiny,TUFTED,Yes,4,-71.904434,-3.4548192,7,Exc_3,ME_Exc_17
17,314800874,,,21,Rorb-IRES2-Cre,spiny,,,6,-40.377975,-48.928795,7,Exc_3,
18,314800921,,,9,Rorb-IRES2-Cre,spiny,,,5,-19.36578,33.413807,8,Exc_1,
19,314804042,5,,19,Rorb-IRES2-Cre,spiny,TUFTED,Yes,5,-54.928562,8.304764,7,Exc_3,ME_Exc_16
20,314822529,5,,8,Rorb-IRES2-Cre,spiny,TUFTED,Yes,5,-22.760162,16.77964,7,Exc_2,ME_Exc_5
21,314831019,5,,21,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,5,-46.821407,-25.382944,7,Exc_3,ME_Exc_13
22,314857059,,,9,Scnn1a-Tg3-Cre,spiny,,,2/3,-39.368496,6.879444,8,Exc_3,
23,314900022,4,,11,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,4,-18.212448,-4.7596097,3,Exc_3,ME_Exc_17
24,318331264,,,2,Pvalb-IRES-Cre,aspiny,,,5,93.03182,-12.208102,11,Inh_11,
25,318522838,,,2,Pvalb-IRES-Cre,aspiny,,,5,87.92518,-23.41229,11,Inh_11,
26,318543876,,,2,Pvalb-IRES-Cre,aspiny,,,4,98.71062,-16.08316,11,Inh_11,
27,318553131,,,0,Pvalb-IRES-Cre,aspiny,,,4,76.73655,-40.338573,9,Inh_10,
28,318556138,,,2,Pvalb-IRES-Cre,aspiny,,,5,94.438324,-16.007092,11,Inh_11,
29,318733871,4,,19,Nr5a1-Cre,spiny,NON - TUFTED,Yes,4,-35.68226,12.36299,7,Exc_3,ME_Exc_19
30,318808427,4,,20,Nr5a1-Cre,spiny,NON - TUFTED,Yes,2/3,-56.177383,4.355323,7,Exc_3,ME_Exc_20
31,320207387,5,,19,Scnn1a-Tg3-Cre,spiny,TUFTED,Yes,4,-35.091347,15.010904,7,Exc_3,ME_Exc_13
32,320247631,,,2,Pvalb-IRES-Cre,aspiny,,,4,96.88015,-11.63549,11,Inh_11,
