cell_reporter_status,csl__normalized_depth,csl__x,csl__y,csl__z,donor__age,donor__disease_state,donor__id,donor__name,donor__race,donor__sex,donor__species,donor__years_of_seizure_history,ef__adaptation,ef__avg_firing_rate,ef__avg_isi,ef__f_i_curve_slope,ef__fast_trough_v_long_square,ef__peak_t_ramp,ef__ri,ef__tau,ef__threshold_i_long_square,ef__upstroke_downstroke_ratio_long_square,ef__vrest,ephys_inst_thresh_thumb_path,ephys_thumb_path,erwkf__id,line_name,m__biophys,m__biophys_all_active,m__biophys_perisomatic,m__glif,morph_thumb_path,nr__average_contraction,nr__average_parent_daughter_ratio,nr__max_euclidean_distance,nr__number_bifurcations,nr__number_stems,nr__reconstruction_type,nrwkf__id,si__height,si__path,si__width,specimen__hemisphere,Cell_id,specimen__name,structure__acronym,structure__id,structure__layer,structure__name,structure_parent__acronym,structure_parent__id,tag__apical,tag__dendrite_type
negative,0.360961746088293,8399.85778683815,717.829201553976,3398.20911227937,,,479695167,Rorb-IRES2-Cre-D;Ai14-196665,,,Mus musculus,,0.0209720067003851,19.7869260489674,50.5384210526316,0.441304347141027,-51.9062538146973,1.59463833333333,450.000107288361,47.8952757472696,10.0,3.04308034040575,-63.7343978881836,/api/v2/well_known_file_download/491377577,/api/v2/well_known_file_download/491377575,496605650,Rorb-IRES2-Cre,0,0,0,0,,,,,,,,,,,,right,479771670,Rorb-IRES2-Cre-D;Ai14-196665.03.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.363079633568215,9035.61577467492,864.671601580766,7925.70842298861,,,510023677,Cux2-CreERT2;Ai14-239082,,,Mus musculus,,0.130370892947596,13.4462821029985,74.37,0.0313543562831141,-47.78125,5.12449333333333,134.687542915344,15.4000760796152,150.0,3.63151189770886,-81.1610488891602,/api/v2/well_known_file_download/515020938,/api/v2/well_known_file_download/515020935,567445828,Cux2-CreERT2,0,0,0,5,,,,,,,,,,,,left,513593674,Cux2-CreERT2;Ai14-239082.05.01.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,intact,spiny
positive,,9351.33869899615,667.238044534289,3767.40752234676,,,581538789,Htr3a-Cre_NO152;Ai14-314135,,,Mus musculus,,0.231692677070838,120.048019207682,8.33000000000006,0.0241279069767442,-50.15625,2.57226,283.593744039536,16.3125149554193,40.0,2.73294815696455,-70.6770324707031,/api/v2/well_known_file_download/606111001,/api/v2/well_known_file_download/606110994,659442572,Htr3a-Cre_NO152,0,0,0,2,,,,,,,,,,,,right,583822407,Htr3a-Cre_NO152;Ai14-314135.02.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,,8755.21531421366,1123.35765144039,7448.13158915937,,,583090832,Vip-IRES-Cre;Ai14-315368,,,Mus musculus,,0.0103229397851398,34.7178386567352,28.8036363636364,0.0191964285714286,-49.4687538146973,2.658145,231.875032186508,18.3563685750736,50.0,3.42351007502397,-64.7030563354492,/api/v2/well_known_file_download/606111418,/api/v2/well_known_file_download/606111416,659450315,Vip-IRES-Cre,0,0,0,2,,,,,,,,,,,,left,585080288,Vip-IRES-Cre;Ai14-315368.04.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
positive,,8646.14258496886,1041.82729070927,7628.69085263281,,,571780386,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-299579,,,Mus musculus,,0.123166145717213,8.09435707678077,123.542857142857,0.122592591027686,-62.4687538146973,1.92671333333333,322.187542915344,37.8183672710174,30.0,1.97094406925803,-67.0471649169922,/api/v2/well_known_file_download/574390625,/api/v2/well_known_file_download/574390623,659446122,Nos1-CreERT2|Sst-IRES-FlpO,0,0,0,2,,,,,,,,,,,,left,572410577,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-299579.04.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.372868197228426,8946.0,1049.47686967241,8202.56063466474,,,418778127,Scnn1a-Tg3-Cre;Ai14(IVSCC)-181566,,,Mus musculus,,0.0284172256614396,16.3793009314362,61.0526666666667,0.227150547425861,-54.0937538146973,4.44017166666667,179.687470197678,26.756291884707,100.0,3.27833411953462,-80.1294937133789,/api/v2/well_known_file_download/491377686,/api/v2/well_known_file_download/487634112,491201459,Scnn1a-Tg3-Cre,0,0,0,5,,,,,,,,,,,,left,470098860,Scnn1a-Tg3-Cre;Ai14-181566.04.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.313011387767044,8983.96602419027,896.579275114655,8186.01779636337,,,472963244,Rorb-IRES2-Cre-D;Ai14(IVSCC)-181715,,,Mus musculus,,,,,0.0158742935628127,-47.84375,7.79090666666667,107.968866825104,11.459694659171,250.0,3.12721730363885,-82.7531585693359,/api/v2/well_known_file_download/491377281,/api/v2/well_known_file_download/487625197,496389059,Rorb-IRES2-Cre,0,0,0,0,/api/v2/well_known_file_download/489405258,0.89998330953772,0.82193799393301,318.040615932997,22.0,5.0,dendrite-only,491253838.0,5736.0,/external/mousecelltypes/prod340/specimen_473611755/min_xy_473611755.aff,3892.0,left,473611755,Rorb-IRES2-Cre-D;Ai14-181715.03.01.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,intact,spiny
positive,,8617.64837926385,1476.7592705822,2876.13839694213,,,579671688,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671,,,Mus musculus,,-0.0079762316985848,17.2691687773428,57.9066666666667,0.265588245744275,-53.3750038146973,5.24884,174.999997019768,10.7532585271745,130.0,3.03724719576329,-68.0887222290039,/api/v2/well_known_file_download/587867526,/api/v2/well_known_file_download/587867521,592971397,Nkx2-1-CreERT2,0,0,0,5,,,,,,,,,,,,right,580537822,Nkx2-1-CreERT2;Ai14 (IVSCC)-311671.04.02.02,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.462671613836927,9030.34918411327,832.558651793604,3681.91310831678,,,478594016,Scnn1a-Tg3-Cre;Ai14(IVSCC)-195195,,,Mus musculus,,0.258176905720702,9.54274353876736,104.791666666667,-0.00338052300968143,-46.0,5.95392166666667,154.107108712196,19.1436016614458,110.0,3.13929932545215,-78.5531539916992,/api/v2/well_known_file_download/491384646,/api/v2/well_known_file_download/491384644,501272568,Scnn1a-Tg3-Cre,0,0,0,0,,,,,,,,,7543.0,/external/mousecelltypes/prod424/specimen_479091820/min_xy_479091820.aff,5732.0,right,479091820,Scnn1a-Tg3-Cre;Ai14-195195.04.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.711457973538847,8976.63502144556,1295.51331478617,8057.36086373136,,,475196647,Pvalb-IRES-Cre;Ai14(IVSCC)-185362,,,Mus musculus,,0.00523644428043449,261.210274270789,3.82833333333332,1.64510904338246,-66.0625,14.9685383333333,85.1562470197678,5.29061521955921,400.0,1.30883421463085,-72.20556640625,/api/v2/well_known_file_download/491384437,/api/v2/well_known_file_download/491384435,491200305,Pvalb-IRES-Cre,1,1,0,0,/api/v2/well_known_file_download/487661703,0.905298393934445,0.964713713261636,345.390821720323,15.0,4.0,dendrite-only,491119984.0,7587.0,/external/mousecelltypes/prod362/specimen_475549334/min_xy_475549334.aff,5757.0,left,475549334,Pvalb-IRES-Cre;Ai14-185362.03.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
negative,0.829095915964361,8778.14313670529,1528.08594980323,2903.58329078535,,,501715368,Ctgf-2A-dgCre;Ai14(IVSCC)-229233,,,Mus musculus,,0.0594504297656943,4.19339958904684,238.47,0.151066355936711,-49.4062538146973,8.03634,239.843934774399,14.290159286403,170.0,2.32016203447269,-83.0187683105469,/api/v2/well_known_file_download/512191840,/api/v2/well_known_file_download/512191838,515347281,Ctgf-T2A-dgCre,0,0,0,0,/api/v2/well_known_file_download/546787585,0.876244535952505,0.813230744863163,725.590369240634,31.0,6.0,dendrite-only,546778528.0,7591.0,/external/mousecelltypes/prod673/specimen_501799874/min_xy_501799872.aff,7579.0,right,501799874,Ctgf-2A-dgCre;Ai14(IVSCC)-229233.03.02.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,intact,spiny
positive,0.643707805030911,7952.74152700644,1179.56993254323,3266.62774496741,,,523701941,Chrna2-Cre_OE25;Ai14(BT)-250843,,,Mus musculus,,-0.00199313265334824,11.656493726687,85.7890909090909,0.185413805432912,-45.71875,3.53032666666667,121.718637645245,15.850871823684,110.0,2.34564543377011,-67.30859375,/api/v2/well_known_file_download/526823006,/api/v2/well_known_file_download/526823001,659441023,Chrna2-Cre_OE25,0,0,0,0,,,,,,,,,,,,right,524857207,Chrna2-Cre_OE25;Ai14(BT)-250843.05.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,,9324.40164147142,1422.14843576739,8337.30405246783,,,591417073,Vip-IRES-Cre;Ai14-322778,,,Mus musculus,,0.0197599006081038,33.4861137272137,29.863125,0.371354179481664,-47.9062538146973,4.80257333333333,204.375147819519,8.70889533702698,110.0,3.18219199150549,-72.804313659668,/api/v2/well_known_file_download/606115184,/api/v2/well_known_file_download/606115182,646542064,Vip-IRES-Cre,0,0,0,2,,,,,,,,,,,,left,592819166,Vip-IRES-Cre;Ai14-322778.03.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,sparsely spiny
positive,0.518898906787936,9180.0,1385.61764211037,2736.04663363025,,,489768917,Scnn1a-Tg2-Cre;Ai14-215166,,,Mus musculus,,0.111099018926569,6.66715559141004,149.989,0.0900985750221714,-45.71875,4.91246666666667,121.093638241291,25.768141359326,110.0,3.46081206661127,-73.8577346801758,/api/v2/well_known_file_download/491618253,/api/v2/well_known_file_download/490286232,497262683,Scnn1a-Tg2-Cre,0,0,0,5,,,,,,,,,,,,right,490283519,Scnn1a-Tg2-Cre;Ai14-215166.03.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.480129273890931,9327.9207133412,1769.29311354215,2395.52701297609,,,522645847,Nos1-CreERT2;Ai14(BT)-251974,,,Mus musculus,,,,,0.0318181834470464,-48.1562538146973,8.196,180.245563387871,30.2035053345905,190.0,3.16804777251328,-71.0821914672852,/api/v2/well_known_file_download/525641580,/api/v2/well_known_file_download/525641577,659445890,Nos1-CreERT2,0,0,0,2,,,,,,,,,,,,right,524090036,Nos1-CreERT2;Ai14(BT)-251974.03.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.494978352253461,8766.93193131801,1245.0648598059,8245.14719127383,,,313403626,Rorb-IRES2-Cre-D;Ai14(IVSCC)-168053,,,Mus musculus,,0.0929322942815354,9.86744729138575,101.343333333333,0.154761904761905,-49.7187538146973,3.744635,215.624928474426,31.553622349184,90.0,3.38751999898176,-71.1050338745117,/api/v2/well_known_file_download/491384592,/api/v2/well_known_file_download/487618825,491201620,Rorb-IRES2-Cre,1,0,1,0,/api/v2/well_known_file_download/487659627,0.890830812861332,0.837657988583219,422.170626147995,28.0,4.0,dendrite-only,491392790.0,7582.0,/external/mousecelltypes/prod149/specimen_314804042/min_xy_314804042.aff,5744.0,left,314804042,Rorb-IRES2-Cre-D;Ai14-168053.05.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.849192975036898,9271.28402191403,2377.15128266899,9242.29002967842,,,554221077,Chrna2-Cre_OE25;Ai14(BT)-280154,,,Mus musculus,,,,,0.0154462242562928,-67.125,21.28975,62.0312504470348,5.5153108868308,630.0,1.30592459441948,-81.2040100097656,/api/v2/well_known_file_download/557184223,/api/v2/well_known_file_download/557184221,657593302,Chrna2-Cre_OE25,0,0,0,0,/api/v2/well_known_file_download/662055340,0.823951188504289,0.968018893058391,291.113644313437,17.0,5.0,full,673136340.0,5758.0,/external/mousecelltypes/prod847/specimen_555241040/min_xy_555241040.aff,7596.0,left,555241040,Chrna2-Cre_OE25;Ai14(BT)-280154.04.01.01,VISli6a,312782594,6a,"""Laterointermediate area, layer 6a""",VISli,312782574,NA,aspiny
positive,,9300.0,2027.05351388297,9286.87472751387,,,560752216,Htr3a-Cre_NO152;Ai14-286731,,,Mus musculus,,-0.00789015027369559,13.6764605320143,73.1183333333333,0.252455357142857,-52.4687538146973,5.08451333333333,105.937540531158,9.10007439506716,90.0,4.59942440051951,-67.1176071166992,/api/v2/well_known_file_download/561999058,/api/v2/well_known_file_download/561999056,659442288,Htr3a-Cre_NO152,0,0,0,2,,,,,,,,,,,,left,561533860,Htr3a-Cre_NO152;Ai14-286731.03.01.01,VISl5,613,5,"""Lateral visual area, layer 5""",VISl,409,NA,aspiny
negative,0.869040398886819,8527.60141567686,1277.14925029465,7982.91567338832,,,487607536,Ntsr1-Cre;Ai14-212351,,,Mus musculus,,0.041706406071914,17.0959349072278,58.4934375,0.217753636054294,-43.7500038146973,4.400905,96.0935577750206,17.076570896476,90.0,3.56740927963753,-77.6519393920898,/api/v2/well_known_file_download/491382465,/api/v2/well_known_file_download/488690089,496604735,Ntsr1-Cre_GN220,0,0,0,5,,,,,,,,,,,,left,488688374,Ntsr1-Cre;Ai14-212351.05.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,intact,spiny
positive,,8113.23628444789,697.746102723362,3215.35548448907,,,579671669,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666,,,Mus musculus,,0.00293727828676858,72.043185323484,13.8805633802817,1.15778875379939,-59.0625038146973,5.23154,186.250001192093,8.27182352607179,90.0,1.47224602902524,-76.9175567626953,/api/v2/well_known_file_download/587867750,/api/v2/well_known_file_download/587867747,592971627,Nkx2-1-CreERT2,0,0,0,5,,,,,,,,,,,,right,581058351,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.06.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,,8892.78224916346,1189.75819626682,3501.75597247892,,,587251475,Esr2-IRES2-Cre;Ai14-316922,,,Mus musculus,,0.0128357387500582,12.4824111479279,80.1127272727273,0.206823270964332,-41.0312538146973,4.56392,94.6874991059303,16.8245969487518,80.0,3.0485185353905,-62.9423522949219,/api/v2/well_known_file_download/606111938,/api/v2/well_known_file_download/606111935,659442066,Esr2-IRES2-Cre,0,0,0,2,,,,,,,,,,,,right,588729065,Esr2-IRES2-Cre;Ai14-316922.03.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
negative,0.649524799834529,8557.22884119046,1089.71449795276,3496.57811375038,,,488425799,Rorb-IRES2-Cre-D;Ai14-212872,,,Mus musculus,,-0.00277930955092423,9.6376833418667,103.759375,0.144866799609857,-49.5937538146973,8.768945,47.6560592651367,10.1430573399696,190.0,2.9286807276353,-76.9375152587891,/api/v2/well_known_file_download/491377936,/api/v2/well_known_file_download/488679907,496275606,Rorb-IRES2-Cre,1,0,1,2,/api/v2/well_known_file_download/505204817,0.910968086916278,0.777066731847452,677.2405672417,61.0,11.0,dendrite-only,505203925.0,7599.0,/external/mousecelltypes/prod549/specimen_488679042/min_xy_488679042.aff,7607.0,right,488679042,Rorb-IRES2-Cre-D;Ai14-212872.04.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,,8416.06170723784,1034.96454101367,7976.75066325859,,,597397703,Tlx3-Cre_PL56;Ai14-329464,,,Mus musculus,,0.0217970614478176,14.0939742839177,70.9523076923077,0.12070112655161,-48.25,3.94800666666667,137.656286358833,13.9564440929572,90.0,4.36275592027709,-69.6875991821289,/api/v2/well_known_file_download/606115964,/api/v2/well_known_file_download/606115962,659449282,Tlx3-Cre_PL56,0,0,0,2,,,,,,,,,,,,left,599177740,Tlx3-Cre_PL56;Ai14-329464.05.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
