cell_reporter_status,csl__normalized_depth,csl__x,csl__y,csl__z,donor__age,donor__disease_state,donor__id,donor__name,donor__race,donor__sex,donor__species,donor__years_of_seizure_history,ef__adaptation,ef__avg_firing_rate,ef__avg_isi,ef__f_i_curve_slope,ef__fast_trough_v_long_square,ef__peak_t_ramp,ef__ri,ef__tau,ef__threshold_i_long_square,ef__upstroke_downstroke_ratio_long_square,ef__vrest,ephys_inst_thresh_thumb_path,ephys_thumb_path,erwkf__id,line_name,m__biophys,m__biophys_all_active,m__biophys_perisomatic,m__glif,morph_thumb_path,nr__average_contraction,nr__average_parent_daughter_ratio,nr__max_euclidean_distance,nr__number_bifurcations,nr__number_stems,nr__reconstruction_type,nrwkf__id,si__height,si__path,si__width,specimen__hemisphere,Cell_id,specimen__name,structure__acronym,structure__id,structure__layer,structure__name,structure_parent__acronym,structure_parent__id,tag__apical,tag__dendrite_type
positive,0.582056591439023,8966.56330957526,1429.52689052075,8567.389672505,,,563340157,Oxtr-T2A-Cre;Ai14-293837,,,Mus musculus,,,,,0.0203836930455635,-59.1875,14.7372,119.977675378323,11.2910900095904,270.0,1.56402714119508,-74.9269866943359,/api/v2/well_known_file_download/566738219,/api/v2/well_known_file_download/566738214,659446233,Oxtr-T2A-Cre,0,0,0,2,,,,,,,,,,,,left,565871768,Oxtr-2A-Cre;Ai14-293837.03.01.02,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.469578264738698,7872.53138541818,993.212032389272,3127.15304714108,,,319194354,Pvalb-IRES-Cre;Ai14(IVSCC)-170927,,,Mus musculus,,0.000642588058309864,79.9520287827304,12.5075,1.15678851174935,-55.6875038146973,11.7630225,65.6249970197678,4.12168918958787,290.0,1.16261835694738,-72.0429763793945,/api/v2/well_known_file_download/491380580,/api/v2/well_known_file_download/487618917,491200026,Pvalb-IRES-Cre,0,0,0,0,,,,,,,,,,,,right,469801138,Pvalb-IRES-Cre;Ai14-170927.05.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,,9400.0,1520.74232706376,2188.13845194139,,,605622695,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337419,,,Mus musculus,,-0.015097529619921,12.666098611335,78.9509090909091,0.19185329926349,-47.0937538146973,8.4234,102.968707680702,5.16657372643037,280.0,3.37932106468021,-72.7120361328125,/api/v2/well_known_file_download/657612186,/api/v2/well_known_file_download/657612184,657618169,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,0,0,0,2,,,,,,,,,,,,right,605889373,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337419.03.02.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.478343598387418,8881.0,953.839501299405,7768.22695782726,,,485250100,Cux2-CreERT2;Ai14-205530,,,Mus musculus,,0.0323396179505003,17.8906878969496,55.895,0.25,-49.0000038146973,2.85131166666667,213.124960660934,20.5677674593068,70.0,3.04293347960074,-76.9283905029297,/api/v2/well_known_file_download/491381130,/api/v2/well_known_file_download/485911650,491316386,Cux2-CreERT2,1,0,1,0,/api/v2/well_known_file_download/501086496,0.891127894162828,0.844376941289302,446.97383394351,18.0,7.0,dendrite-only,500961530.0,7583.0,/external/mousecelltypes/prod506/specimen_485909730/min_xy_485909730.aff,5744.0,right,485909730,Cux2-CreERT2;Ai14-205530.03.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,0.608589715882724,8125.0,904.841803028986,7819.69986630448,,,322489588,Scnn1a-Tg3-Cre;Ai14(GSL)-172530,,,Mus musculus,,0.0267317211648439,10.6119373683457,94.2335,0.164285714285714,-47.75,3.42154166666667,166.250005364418,23.1827548873761,70.0,2.97419423435741,-69.4028549194336,/api/v2/well_known_file_download/491384430,/api/v2/well_known_file_download/487629671,491200673,Scnn1a-Tg3-Cre,1,0,1,0,/api/v2/well_known_file_download/487660934,0.876720334351633,0.883248879281861,507.620655658534,35.0,6.0,dendrite-only,492413274.0,9443.0,/external/mousecelltypes/prod225/specimen_323865917/min_xy_323865917.aff,5762.0,left,323865917,Scnn1a-Tg3-Cre;Ai14-172530.06.01.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,,8294.0,828.8846152563,3320.65602051487,,,581538789,Htr3a-Cre_NO152;Ai14-314135,,,Mus musculus,,,80.0,12.5,0.0292989421736461,-48.5937538146973,,233.281165361404,11.6573153251672,110.0,2.13231571411621,-62.0555801391602,/api/v2/well_known_file_download/606111003,/api/v2/well_known_file_download/606110998,644211026,Htr3a-Cre_NO152,0,0,0,2,,,,,,,,,,,,right,583836069,Htr3a-Cre_NO152;Ai14-314135.05.02.02,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.68479988993718,9022.31795341815,1034.01756171273,3750.09609106139,,,503871551,Rorb-IRES2-Cre-D;Ai14-234241,,,Mus musculus,,0.0147999527962489,10.8608293329279,92.074,0.177671232876712,-45.8437538146973,3.36571333333333,164.062529802322,18.3534585100392,70.0,4.05999460039471,-69.3629837036133,/api/v2/well_known_file_download/511602813,/api/v2/well_known_file_download/511602811,566094316,Rorb-IRES2-Cre,0,0,0,5,,,,,,,,,,,,right,504615116,Rorb-IRES2-Cre-D;Ai14-234241.04.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,intact,spiny
positive,,9226.81555310021,2289.94455323552,9055.32772884261,,,557265267,Ctgf-2A-dgCre;Ai14(IVSCC)-280859,,,Mus musculus,,0.0306133983073091,10.7949911241184,92.6355555555556,0.130988030417411,-48.6250038146973,5.15529333333333,125.937417149544,13.7193053364636,110.0,5.16440903077961,-70.4971466064453,/api/v2/well_known_file_download/559193812,/api/v2/well_known_file_download/559193810,659441525,Ctgf-T2A-dgCre,0,0,0,2,,,,,,,,,,,,left,558076716,Ctgf-2A-dgCre;Ai14(IVSCC)-280859.04.01.01,VISl6a,74,6a,"""Lateral visual area, layer 6a""",VISl,409,truncated,spiny
positive,0.419115970790224,8711.26681152,1417.44904628,8895.04077315,,,475849748,Scnn1a-Tg3-Cre;Ai14(IVSCC)-187849,,,Mus musculus,,0.0986648819093415,8.82712702235784,113.287142857143,0.139336926026596,-44.4687538146973,5.80315333333333,95.1785519719124,25.2161656931662,130.0,3.38631659246252,-75.0661315917969,/api/v2/well_known_file_download/491384504,/api/v2/well_known_file_download/491384500,491316017,Scnn1a-Tg3-Cre,0,0,0,0,/api/v2/well_known_file_download/512328571,0.922705868334515,0.806499196930875,456.764109672597,45.0,8.0,dendrite-only,512328422.0,7584.0,/external/mousecelltypes/prod507/specimen_476135066/min_xy_476135066.aff,7583.0,left,476135066,Scnn1a-Tg3-Cre;Ai14-187849.06.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.411748299578798,9918.74841340251,2116.91601361369,2202.77186959471,,,502081962,Rorb-IRES2-Cre-D;Ai14-230822,,,Mus musculus,,0.0248267549401969,12.8032776390756,78.105,0.15546875,-51.375,3.87155333333333,214.062571525574,28.1795362452016,90.0,3.94022133203199,-70.157844543457,/api/v2/well_known_file_download/511853627,/api/v2/well_known_file_download/511853625,544847110,Rorb-IRES2-Cre,0,0,0,0,/api/v2/well_known_file_download/541010756,0.851588490256285,0.787984448682699,418.28577095089,27.0,8.0,dendrite-only,519262719.0,5750.0,/external/mousecelltypes/prod670/specimen_502614426/min_xy_502614426.aff,7586.0,right,502614426,Rorb-IRES2-Cre-D;Ai14-230822.04.02.01,VISpl4,869,4,"""Posterolateral visual area, layer 4""",VISpl,425,intact,spiny
positive,,9007.42136162164,865.328132411052,8068.80299257165,,,579671669,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666,,,Mus musculus,,0.00152932812328208,62.5586487331874,15.985,0.794242504372189,-54.6562538146973,12.35868,84.6873819828033,8.39470754288424,330.0,1.28214906715888,-72.5855331420898,/api/v2/well_known_file_download/587867766,/api/v2/well_known_file_download/587867760,592971418,Nkx2-1-CreERT2,0,0,0,2,,,,,,,,,,,,left,581020172,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.03.01.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.582815456052957,8571.43849871717,1520.33945775248,2537.00682733199,,,480773363,Pvalb-IRES-Cre;Ai14-199002,,,Mus musculus,,0.0187283963351565,110.634766975522,9.03874999999998,1.47236471674603,-60.1562538146973,10.2720816666667,164.687469601631,9.26534750102426,290.0,1.26391558451577,-70.6443405151367,/api/v2/well_known_file_download/491381001,/api/v2/well_known_file_download/483151576,496390184,Pvalb-IRES-Cre,0,0,0,0,,,,,,,,,5744.0,/external/mousecelltypes/prod511/specimen_481127932/min_xy_481127932.aff,3891.0,right,481127932,Pvalb-IRES-Cre;Ai14-199002.06.02.01,VISp5,778,5,"""Primary visual area, layer 5""",VISp,385,NA,aspiny
positive,0.446400413561292,8190.00000000001,965.345563571091,8156.98088204066,,,479695183,Rorb-IRES2-Cre-D;Ai14-197330,,,Mus musculus,,0.0183919874829413,17.2260342798082,58.0516666666667,0.199214145383104,-48.5,3.172455,230.044677853584,35.8412916818504,50.0,3.52229179453099,-73.2083282470703,/api/v2/well_known_file_download/491382099,/api/v2/well_known_file_download/491382097,491198827,Rorb-IRES2-Cre,1,0,1,5,/api/v2/well_known_file_download/487685988,0.8990427354402,0.877853350584097,415.542767757809,21.0,4.0,dendrite-only,491770972.0,9426.0,/external/mousecelltypes/prod439/specimen_480087928/min_xy_480087928.aff,9426.0,left,480087928,Rorb-IRES2-Cre-D;Ai14-197330.06.01.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,intact,spiny
positive,0.160683162037123,9296.54582374889,1524.44950303415,9140.85922196214,,,520637948,Htr3a-Cre_NO152;Ai14-249978,,,Mus musculus,,0.0167704502862876,15.5248508505401,64.4128571428571,0.175000009621892,-56.9062538146973,4.46743333333333,192.455351352692,10.3367179880801,110.0,4.47381298910879,-75.0899429321289,/api/v2/well_known_file_download/523998465,/api/v2/well_known_file_download/523998462,567444821,Htr3a-Cre_NO152,0,0,0,2,,,,,,,,,,,,left,522257166,Htr3a-Cre_NO152;Ai14-249978.03.01.01,VISp2/3,821,2/3,"""Primary visual area, layer 2/3""",VISp,385,NA,aspiny
positive,0.406030239502927,8915.7100716551,1379.3861586334,2571.48810778752,,,325632898,Htr3a-Cre_NO152;Ai14(IVSCC)-175482,,,Mus musculus,,,125.078173858662,7.99499999999997,0.016193853427896,-59.78125,,259.218811988831,15.4281779451872,40.0,1.8614059156048,-67.1809234619141,/api/v2/well_known_file_download/491376729,/api/v2/well_known_file_download/487609062,491197983,Htr3a-Cre_NO152,0,0,0,0,,,,,,,,,5755.0,/external/mousecelltypes/prod231/specimen_327970859/min_xy_327970859.aff,7600.0,right,327970859,Htr3a-Cre_NO152;Ai14-175482.05.02.01,VISp4,721,4,"""Primary visual area, layer 4""",VISp,385,NA,aspiny
positive,,9053.27700660491,1589.12991046347,8323.9297066378,,,589751705,Vip-IRES-Cre;Ai14-319671,,,Mus musculus,,0.0236798492971572,32.1469575200918,31.1071428571429,0.0437125757718643,-51.21875,1.61747,287.031292915344,16.4532571940948,30.0,2.49393673910252,-66.0934371948242,/api/v2/well_known_file_download/606112157,/api/v2/well_known_file_download/606112153,646446290,Vip-IRES-Cre,0,0,0,0,,,,,,,,,,,,left,591517805,Vip-IRES-Cre;Ai14-319671.04.01.01,VISp6a,33,6a,"""Primary visual area, layer 6a""",VISp,385,NA,aspiny
