"cl1","cl2","gene","pval","lfc","meanA","meanB","q1","q2","q.diff"
"CR","L23IT","Kcnip1",5.83593065098797e-30,4.71675531625029,4.75959509755517,0.0428397813048819,0.666666666666667,0.0100704934541793,0.984894259818731
"CR","L23IT","Kcnb1",2.72785930182126e-35,-5.61392685714687,1.29122629817817,6.90515315532504,0.222222222222222,0.99496475327291,0.776653171390014
"CR","L23IT","Kcna2",4.71531605294303e-25,-4.85762397705861,0.591812934519418,5.44943691157803,0.166666666666667,0.905337361530715,0.815906562847609
"CR","L23IT","Kcna1",3.39071194154547e-17,-4.93077824157254,0.244049483681521,5.17482772525407,0.111111111111111,0.871097683786506,0.872447013487476
"CR","L23IT","Kcnd2",3.96923497341432e-17,-5.15830504365957,0.327752171966856,5.48605721562642,0.0555555555555556,0.908358509566969,0.938839615668884
"CR","L23IT","Kcnn2",2.76644796107568e-09,-3.1464460452699,0.592437291124349,3.73888333639425,0.166666666666667,0.804632426988922,0.792866082603254
"CR","L23IT","Cacna1a",3.36752253483324e-09,-2.66416147415661,1.7495043842923,4.41366585844891,0.277777777777778,0.942598187311178,0.705306267806268
"CR","L23IT","Kcnd3",2.15306243486455e-07,-3.12070686218917,1.14864784241792,4.26935470460709,0.222222222222222,0.827794561933535,0.731549067315491
"CR","L4","Kcnip1",3.11679055710664e-30,4.72712460384546,4.75959509755517,0.0324704937097098,0.666666666666667,0.00854700854700855,0.987179487179487
"CR","L4","Kcnb1",2.21672102463896e-50,-6.74845498727153,1.29122629817817,8.0396812854497,0.222222222222222,0.997150997150997,0.777142857142857
"CR","L4","Kcna2",4.17898581051185e-50,-6.98622098380832,0.591812934519418,7.57803391832773,0.166666666666667,0.987179487179487,0.831168831168831
"CR","L4","Kcnd2",6.1292192859022e-18,-5.27738157892382,0.327752171966856,5.60513375089068,0.0555555555555556,0.883190883190883,0.937096774193548
"CR","L4","Cacna1a",2.76515240571078e-17,-3.80221173856066,1.7495043842923,5.55171612285296,0.277777777777778,0.969373219373219,0.713445995591477
"CR","L4","Kcnab1",1.65885567450607e-10,-4.01462262956703,0.563507823466718,4.57813045303376,0.166666666666667,0.758547008547009,0.780281690140845
"CR","L4","Kcna1",1.67430162635971e-10,-3.72442724594765,0.244049483681521,3.96847672962917,0.111111111111111,0.688746438746439,0.838676318510858
"CR","L4","Cacna1g",1.05848922278073e-09,-3.22603924026977,0.838130756888102,4.06416999715787,0.111111111111111,0.788461538461538,0.859078590785908
"CR","L5IT","Kcnip1",1.35398314801451e-29,4.69080111434248,4.75959509755517,0.0687939832126948,0.666666666666667,0.0134529147982063,0.979820627802691
"CR","L5IT","Kcna2",3.54052691772918e-47,-6.79457183233624,0.591812934519418,7.38638476685566,0.166666666666667,1,0.833333333333333
