"sample_id","cre_label","Nr5a1","Rbp4","Hcn1","Hcn2","Hcn3","Hcn4","Cacna1a","Cacna1b","Cacna1c","Cacna1d","Cacna1e","Cacna1f","Cacna1g","Cacna1h","Cacna1i","Cacna1s","Cacna2d1","Cacna2d2","Cacna2d3","Cacna2d4","Kcna1","Kcna10","Kcna2","Kcna3","Kcna4","Kcna5","Kcna6","Kcna7","Kcnab1","Kcnab2","Kcnab3","Kcnb1","Kcnb2","Kcnc1","Kcnc2","Kcnc3","Kcnc4","Kcnd1","Kcnd2","Kcnd3","Kcnd3os","Kcne1","Kcne1l","Kcne2","Kcne3","Kcne4","Kcnf1","Kcng1","Kcng2","Kcng3","Kcng4","Kcnh1","Kcnh2","Kcnh3","Kcnh4","Kcnh5","Kcnh6","Kcnh7","Kcnh8","Kcnip1","Kcnip2","Kcnip3","Kcnip4","Kcnj1","Kcnj10","Kcnj11","Kcnj12","Kcnj13","Kcnj14","Kcnj15","Kcnj16","Kcnj2","Kcnj3","Kcnj4","Kcnj5","Kcnj6","Kcnj8","Kcnj9","Kcnk1","Kcnk10","Kcnk12","Kcnk13","Kcnk15","Kcnk16","Kcnk18","Kcnk2","Kcnk3","Kcnk4","Kcnk5","Kcnk6","Kcnk7","Kcnk9","Kcnma1","Kcnmb1","Kcnmb2","Kcnmb3","Kcnmb4","Kcnmb4os1","Kcnmb4os2","Kcnn1","Kcnn2","Kcnn3","Kcnn4","Kcnq1","Kcnq1ot1","Kcnq2","Kcnq3","Kcnq4","Kcnq5","Kcnrg","Kcns1","Kcns2","Kcns3","Kcnt1","Kcnt2","Kcnu1","Kcnv1","Kcnv2","Nav1","Nav2","Nav3","Scn10a","Scn11a","Scn1a","Scn1b","Scn2a1","Scn2b","Scn3a","Scn3b","Scn4a","Scn4b","Scn5a","Scn7a","Scn8a","Scn9a","Scnm1","Scnn1a","Scnn1b","Scnn1g"
"LS-15050_S25_E1-50","Rbp4-Cre_KL100",0,6.2205216202204,4.46074080651226,3.76680544566463,0,0,4.75085480637721,3.33751915440374,3.76680544566463,4.50593150185438,7.341213041361,0,6.50279551482876,0,2.37961947492103,0,6.03256926999819,0,7.25118704222795,0,5.88643453022306,0,7.99232097236121,3.52481424741715,4.50593150185438,0,6.57878597405734,0,5.761567154362,6.53585414618013,6.13680478460106,7.85498702955417,5.86924449089385,4.15509982057528,5.42760437467555,1.2638346062521,5.114032012828,2.17099183673344,7.44927339788385,5.19904230517419,0,0,0,0,0,0,5.798359822602,0,0,0,0,4.31599913766683,3.6100683741725,3.43420397177599,0,0,4.54974954075432,4.41408866533399,0,0,4.6737430827233,9.09306882211278,6.73877501871799,0,0,4.03691181949695,1.2638346062521,0,0,0,0,0,5.40392485062588,4.63358443880913,0,3.0012001342503,0,6.01704411970887,7.29690214494818,0,4.59227585905812,0,0,0,0,5.56205741130576,1.2638346062521,5.30511754325705,0,0,0,4.15509982057528,7.96426201147371,0,0,0,6.50279551482876,1.2638346062521,2.37961947492103,1.92701012428495,3.97397683668093,0,0,0,5.114032012828,6.24738141969666,2.8690801647903,0,2.17099183673344,0,4.26433450622154,5.54050083071786,0,3.0012001342503,6.42257880376515,2.17099183673344,6.01704411970887,0,1.63319743894521,2.8690801647903,6.15109931217651,0,0,4.03691181949695,8.21276851294601,7.29690214494818,5.30511754325705,6.03256926999819,5.08454443019472,0,0,0,0,5.72381156172248,0,6.03256926999819,0,0,0
"LS-15050_S26_E1-50","Rbp4-Cre_KL100",0,5.84770247996904,7.96882354416119,0,1.88544878682348,0,0.621932932960185,5.61368709070414,4.05564118998596,4.42489224967374,7.27236541595603,1.05510633697386,0,0,0,0,7.17887222458973,0,7.71127536894555,0,3.55811007406157,0,8.33905929094625,0,2.25476023435262,0,3.18333329041353,0,0,5.21368518245612,6.51634920159592,6.79367324888755,0,1.65797958614735,6.44674766176067,4.35061636277811,3.26648235700901,0,0,0,0,0,0,0,0,0,6.88859687418529,0,0,0,0,5.21368518245612,0,0,0,5.74995511909601,3.26648235700901,7.81849383974119,0,0,0,8.56732048660503,0.621932932960185,0,0,5.08215229201429,1.05510633697386,0,3.62265504476804,0,0,0,1.05510633697386,3.85533116171312,0,5.12734222220504,0,5.66055452500295,7.95008111970127,2.90057280721309,5.51512142179338,0,0,0,0,6.33561331233871,0,0,0,0,0,0,8.087911734796,0,0,0,5.97676694073697,0,5.82044385217499,0,1.05510633697386,0,0,0,7.73336600994084,7.21595398328799,0,0,6.02532442853157,0,0,6.04900374250691,0,0,7.18422833073852,0,8.01764463854171,0,0.621932932960185,0,7.89234707901176,0,0,6.9590313514673,8.42074015760372,5.79266025854921,7.09035440205957,5.46319261168945,0,0,0,0,0,4.65833177775991,0.621932932960185,0,0,0,0
"LS-15050_S28_E1-50","Rbp4-Cre_KL100",0,5.58302200973815,5.66381116688986,1.25123755614559,0,0,4.55749813725931,6.57487525277311,4.5854186101742,0,2.36215171399571,0,5.8363916804018,0,0,0,6.64951176113893,0,8.17520027793609,0,7.14309022475293,0,7.85509296508806,0,0,0,4.55749813725931,0,6.45135181266468,0,6.3491982524924,6.80602210817826,0,0.941334383697884,0,2.22688278407998,3.69643303219144,0,6.90904473490769,0,0,0,0,0,0,0,3.28434885239635,0,4.81500944999523,0,0,6.66921444890645,0,5.8247262351155,4.37757678614276,0,0,6.93640319031215,0,0,6.48138195549627,7.79657831655927,7.20289042762107,0,0,3.28434885239635,0,0,0,0,0,0,6.57487525277311,5.09300773188846,0,0,0,7.31553191503137,7.82613228437352,0,4.31224569393164,0,0,0,0,6.98437784030106,0,6.14858985834332,0,0,0,0,7.3566168428405,0,0,0,6.54674797753495,0,3.97497497829544,0,4.74246436532892,0,0,0,6.60928030409571,6.99482564165838,0,0,5.91551084209198,0,0.941334383697884,5.15020965200485,0,5.92646752894253,5.0734250713028,1.25123755614559,8.00475073958453,0,0,4.88408063335477,5.27547069474084,0,0,5.8247262351155,8.0252813432945,8.30680959400783,6.62281582967392,0.941334383697884,3.93212781036087,0,3.53399819151989,0,0,6.34103233414561,0.546118338809565,5.59680496534755,0,0,0
"LS-15050_S29_E1-50","Rbp4-Cre_KL100",0,0,6.03941508802482,2.16427093571655,0,0,5.10563727614321,6.44895849272867,4.40585023872343,0,3.68259072643229,0,0,0,0,0,8.69110136847338,0,6.41403479229824,0,6.22548412961561,0,7.53579732725473,0,0,0,4.91896567421107,0,1.62734495298709,3.9001030528044,6.59122641952758,7.45792590508043,5.99284034090179,4.62528862465775,3.42636083917188,4.14694134703862,4.95180353284904,0,6.83953378365272,5.5957608497609,0,0,0,0,0,0,5.10563727614321,0,0,0,0,2.16427093571655,0,2.86162142523236,0,1.92064348831993,0,2.86162142523236,0,0,0,9.21529204208794,0,0,0,0.762544177931348,0,0,0.762544177931348,0,0,0,5.61639005236356,0,0,0,0,5.71533053168272,7.46362971199793,2.71629685228579,4.45248944175598,0,0,0,0,3.96588344372924,3.32973159185445,5.96093364085184,0,0,0,0,8.37125994257806,0,0,0,6.94115268312909,1.258795935288,4.35765277597148,5.63672843012,5.82574434613735,0,0,0,7.18161245987345,5.99284034090179,3.42636083917188,0,6.72071565353778,0,0,0,0,0,8.14858214776427,0,7.69458769035946,0,0,5.37141330861313,0,0,0,7.04371836487733,8.1938949176947,8.75993444768013,6.31654777888711,4.58399018904199,3.60213322891732,0,0,0,0,7.36954685437139,0,6.3661145633772,3.68259072643229,0,0
"LS-15050_S30_E1-50","Rbp4-Cre_KL100",0,8.00521816775466,8.21353371912843,4.28234469069943,0,0,6.07364041285639,4.7517840157553,5.06296251858814,5.28226196480366,7.06826336715677,0,1.80505352507457,5.91569358361473,0,0,5.62619881749389,1.80505352507457,7.34109277900376,0,5.61155270663791,0,6.71790678745216,4.45635528955106,0,0,1.58281464447155,0,7.50062053052936,4.87952943636379,5.87947475155014,7.91863125783019,0,0,0,1.31999516821575,4.61161855085359,0,7.34552496441212,4.20640478052209,0,0,0,0,0,0,8.10007655671138,6.3187454419686,1.80505352507457,0,0,0,0,3.90388270070633,0,0,0,7.82651393312012,0,0,0,6.15669347847171,6.99680222279606,0,0,2.58227718039844,4.61161855085359,0,3.38940169940206,0,0,0,4.31886643054241,4.95107740540068,0,5.01924410452851,0,6.14656957898449,6.92754080006042,3.45650193025646,3.95118147760468,0,0,0,0,0,4.16688126046762,3.95118147760468,0,0,0,0,6.73151693180535,0,0,0,5.24478943644303,0,0,2.16741885805908,7.28681647925933,0,0,0,8.40192799636382,6.18664577333292,2.45679516695958,0,5.56670055019062,0,4.90377515981674,0,6.43975759788597,3.69746491113072,5.84232317971936,0,0,0,7.78469417456257,0,5.263647361029,0,0,7.47252857305012,7.69723224579916,7.27756853504173,5.85481364017505,4.7517840157553,4.61161855085359,0,4.77825405450865,0,0,8.32546197863666,0,5.18668997113,0,0,0
"LS-15050_S31_E1-50","Rbp4-Cre_KL100",0,5.66884126529035,5.0348366253907,3.87683646655906,4.61293410377211,0,2.14492357360518,0,2.29620593511073,4.49275311144863,7.6225727431946,0,4.89958038656521,5.05619598039795,0,0,5.64083917166507,3.77745573038716,7.74271085242466,0,4.3616433777655,0,8.09717439521118,0,0,0,4.61293410377211,0,5.55341624796159,5.61228279320346,0,6.61195702762214,0,0,6.31690294532077,1.78441074655335,4.25484740914653,0,3.67071927969579,3.29295817822603,0,0,0,0,0,0,5.25401255504482,0,0,0,0,5.09798878947983,0,2.67321950209611,0,4.92302213904349,4.13950928711986,2.43311950116229,0,0,5.09798878947983,7.89568678452723,6.18738087024511,0,0,4.13950928711986,4.46107570608673,0,0,0,0.574300611711857,3.72507437962538,3.05906658968322,3.5554505797165,0,5.49204520686136,0,5.95697278469073,5.97950739970755,0,3.14131630791793,0,0,0,0,6.51501794691943,0,4.64147771991652,0,0,0,0,7.33429469999819,0,0,0,7.08175243505382,0.574300611711857,5.0772437143755,2.43311950116229,3.43016608848629,0,0,0,5.13860492725514,5.74972709231877,5.29051755352629,0,6.45195483722901,0,0,4.5540946773291,0,3.82800166551096,6.03435048920226,0,8.5640489580509,0,0,3.67071927969579,5.59778980387323,0,0,6.92223408833415,8.26708646605312,7.47970620357603,6.27196818911672,0,0,0,0,0,0,6.51501794691943,0,6.45195483722901,0,0,0
"LS-15050_S33_E1-50","Rbp4-Cre_KL100",0,5.19264200492747,8.20984577708847,0,0,0,2.21349630203883,0,5.1439929607784,4.26227492985903,7.30966514160761,0,3.84189831638704,4.7260602655451,0.854745564272835,0,4.61145297301599,0,7.46296381208427,0,6.66747710069343,0,7.73343043574576,0,0,0,0,0,7.86932029248924,6.40383892703546,5.09364600299734,7.23032927525092,3.71442102885884,0,0,1.14578157458106,4.7479283473408,0,5.41395447701659,2.08193920037163,0,0,0,0,0,0,6.68458612193913,5.41395447701659,4.98735324635644,0,0,0,0,6.61489789100469,0,0,4.7479283473408,7.1989201978557,0,0,0,6.94811754644709,8.65679313945725,0,0,0,3.71442102885884,0,0,0,0,0,6.30404441847552,2.82034204873902,0,2.64497727567132,0,5.19264200492747,6.69024433591519,0,4.3789814495999,0,0,0,0,0,0,0,0,0,0,0,7.27242972724098,0,0,0,5.25505615779437,0,0.489768872359554,4.95010779593889,7.58946561399129,0,0,0,5.3863353474769,4.7260602655451,0,0,6.58483738795756,0,0,3.24619794228668,0,5.3863353474769,4.53804730124817,0,0,0,6.81461054405773,0,5.50665869193085,0,0,6.74563845697701,7.72518603179967,7.10884373865725,5.70972973438368,6.54791795855239,7.46296381208427,0,0,0,0,7.39529451138502,0,6.26666175291357,0,0,0
"LS-15050_S34_E1-50","Rbp4-Cre_KL100",0,7.22006780277248,7.03611398204589,4.23636484999101,0,0,3.90585457548695,0,3.53760929320655,0,7.14829451029867,0,4.97225154819372,4.16056173164625,1.29110957824903,0,5.27150824513417,2.5419789337945,7.37483484886405,0,6.40007686270524,0,7.27950789158134,0,0,4.1211123010446,0,0,6.34120824628582,5.03727515041714,7.041406863356,7.0093543236246,4.1211123010446,0,4.65072813384951,1.96137287883067,7.35796463246894,3.90585457548695,4.65072813384951,2.65678475965005,0,0,0,0,0,0,8.05436357047439,6.47239827328165,0,0,0,0,4.30838310625781,2.1298471928605,0,0,0,6.80046890650144,0,0.56792244169799,4.53541949982584,9.31028770153974,7.84330294658915,0,0,0,5.21641795002081,0,0,0,0,0,2.65678475965005,5.21641795002081,0,0,0,5.21641795002081,6.35827438538583,3.75937639837862,3.80987306184448,5.25337755241728,0,0,0,0,2.65678475965005,1.96137287883067,0,0,0,0,8.66948788238249,0,0,0,4.3430874530793,0,2.5419789337945,0,7.89684435166634,2.65678475965005,0,0,6.19688431548478,5.87986448006413,0,0,6.26180925818951,0,0,0,4.80806010748612,5.75655911673171,5.6635123784063,0,0,0,5.84396666213376,0.56792244169799,5.11965133017987,0,0,7.84026935237189,9.01445133818461,6.90288492281792,5.50397303730763,0,0,0,3.27544987491456,0,0,7.00394231037396,0,5.99345588103113,0,0,0
"LS-15050_S35_E1-50","Rbp4-Cre_KL100",0,4.86652743617408,0,4.83720562213904,5.05661669884115,0.666232131067904,3.73610510218356,4.74548540628993,2.78014839753464,0,5.95512660328534,0,0,0,0,0,7.00407764197003,0,7.17787929141543,0,3.85790428913565,0,6.82895161165533,0,5.49246932409727,0,3.798289672551,0,0,1.74316680647753,7.03022552935376,5.88521748576764,0,4.50564650958304,1.12024974473914,1.97622248179957,6.73668794693615,0,5.54781977955281,0,3.3772303926088,0,0,0,0,0,5.75015278575541,4.46788122488121,0,0,0,6.36776065014856,0,5.22455070891631,0,1.46507018453074,0,5.85627689563311,0,0,0,9.28476698464244,1.12024974473914,0,0,1.12024974473914,4.50564650958304,0,3.20428504898361,0,6.18198917794299,0,6.00871286067908,0,0,5.54781977955281,0,6.19360478730991,7.51989610352298,0,0,0,0,0,0,6.7446059961448,0,3.85790428913565,0,0,0,0,7.59626986705821,0,0,0,6.8214843762582,0,3.73610510218356,3.2933476825531,5.33356117047526,0,0,0,5.60112488893525,6.57734730268303,5.15495810732222,0,6.97744707991738,0,0,0,0,5.33356117047526,6.43780630060237,0,8.4569417773316,0,0,4.86652743617408,5.68581062198137,0,0,8.16995179439147,7.93412160757059,7.35383202604698,3.97021636162716,6.17027928791021,5.75015278575541,0,0,0,0,7.04953006246646,0,6.23915400899725,0,0,0
"LS-15050_S36_E1-50","Rbp4-Cre_KL100",0,6.24672980944034,7.04459919890687,5.16226698980559,0,0,4.2020028626493,2.7658675753996,5.46035933237265,3.12687793684277,7.46745006026975,0,2.864935510597,5.32770857081025,0,0,5.55241050106021,0,7.22792332687069,0,7.04987282194111,0,5.08217277645052,0,0,0,5.16226698980559,0,7.83127337029033,5.01904201424556,3.27833473039151,6.59583015550493,5.6938696238881,0,0,3.34848986641496,4.73463354910658,0,6.1518241475121,6.00750487239027,2.95763551949492,0,0,0,0,0,6.86477938114989,7.53293883765065,5.99662217472966,0,0,0,0,6.46771962676512,0,0,3.47932701891706,6.66619599385893,0,0,0,7.81897065482166,7.68980396799483,0,0,2.13232958828158,1.96376428691295,0,0,0,0,0,6.318400810542,6.01830609270128,0,4.65381694135278,0,4.73463354910658,7.30492920026177,1.29301269997929,4.38003862914161,4.16359877832568,0,0,0,0.568969992592913,2.864935510597,3.90885692424418,0,0,0,0,8.51766483397517,0,0,0,3.99886220481781,0,3.90885692424418,3.71001863285745,7.28717646614742,0,0,0,4.78610096709686,6.18095707228011,0,0,5.66666571195671,0,3.59927896386204,4.38003862914161,0,6.63846012557189,6.72671822903853,0,6.03966891831685,0,7.72978252122837,0.568969992592913,6.62438963558556,0,0,7.51398408771533,8.05232269429833,8.13155983853733,7.31810184593333,0,6.34438534283422,0,6.33577572866542,0,0,7.68642187105255,1.96376428691295,6.37831901898567,0,0,0
