,types
Cell_id,object
Ra.all,float64
cm.apical,float64
cm.axonal,float64
cm.basal,float64
cm.somatic,float64
decay_CaDynamics.axonal,float64
decay_CaDynamics.somatic,float64
e_pas.all,float64
g_pas.all,float64
gamma_CaDynamics.axonal,float64
gamma_CaDynamics.somatic,float64
gbar_Ca_HVA.axonal,float64
gbar_Ca_HVA.somatic,float64
gbar_Ca_LVA.axonal,float64
gbar_Ca_LVA.somatic,float64
gbar_Ih.apical,float64
gbar_Ih.basal,float64
gbar_Ih.somatic,float64
gbar_Im.apical,float64
gbar_Im.basal,float64
gbar_Im_v2.basal,float64
gbar_K_Pst.axonal,float64
gbar_K_Pst.somatic,float64
gbar_K_Tst.axonal,float64
gbar_K_Tst.somatic,float64
gbar_Kd.axonal,float64
gbar_Kv2like.axonal,float64
gbar_Kv3_1.apical,float64
gbar_Kv3_1.axonal,float64
gbar_Kv3_1.basal,float64
gbar_Kv3_1.somatic,float64
gbar_NaTa_t.axonal,float64
gbar_NaTs2_t.apical,float64
gbar_NaTs2_t.basal,float64
gbar_NaTs2_t.somatic,float64
gbar_NaV.axonal,float64
gbar_NaV.basal,float64
gbar_NaV.somatic,float64
gbar_Nap_Et2.axonal,float64
gbar_Nap_Et2.somatic,float64
gbar_SK.axonal,float64
gbar_SK.somatic,float64
hof_index,int64
