"cl1","cl2","gene","pval","lfc","meanA","meanB","q1","q2","q.diff"
"CR","L23IT","Trp73",0,8.53250739698752,8.61078108869076,0.0782736917032361,0.944444444444444,0.0241691842900302,0.974409098987027
"CR","L23IT","Lhx1os",0,7.22060373034604,7.22236142241234,0.00175769206630123,0.888888888888889,0.00100704934541793,0.998867069486405
"CR","L23IT","Lhx5",0,5.4074718537932,5.408513168421,0.00104131462780228,0.888888888888889,0,1
"CR","L23IT","Emx2",0,5.24190189178463,5.84089788340612,0.598995991621489,0.833333333333333,0.154078549848943,0.815105740181269
"CR","L23IT","Ebf3",0,5.03095710076939,5.03095710076939,0,0.666666666666667,0,1
"CR","L23IT","Nhlh2",0,4.88163661425499,4.90184820241423,0.0202115881592364,0.611111111111111,0.00503524672708963,0.991760505355672
"CR","L23IT","Cd274",7.13848404041849e-259,5.33724164023874,5.39458846380583,0.0573468235670918,0.722222222222222,0.014098690835851,0.980478735765745
"CR","L23IT","Cxcr4",7.834627365203e-204,3.12849092107932,3.12849092107932,0,0.666666666666667,0,1
"CR","L23IT","Dach1",4.16755959204007e-144,4.97251628607944,4.97651531667171,0.00399903059226842,0.666666666666667,0.00100704934541793,0.998489425981873
"CR","L23IT","Nxph4",2.67150702554668e-139,3.35321106260712,3.36335606269161,0.0101450000844819,0.611111111111111,0.00302114803625378,0.995056303213403
"CR","L23IT","Ndnf",6.03500428424902e-136,10.2897782705745,10.3042067073055,0.0144284367310117,0.944444444444444,0.00302114803625378,0.996801137373378
"CR","L23IT","Fam159b",8.01205743805017e-127,5.55312001027932,5.80960762936208,0.256487619082763,0.666666666666667,0.0604229607250755,0.909365558912387
"CR","L23IT","Rec114",3.95455581126763e-124,3.99483286322848,4.21811274601819,0.223279882789706,0.555555555555556,0.0825780463242699,0.851359516616314
"CR","L23IT","Cacna2d2",3.93040708082549e-98,6.18574700107948,6.32275062131686,0.137003620237388,0.944444444444444,0.0453172205438066,0.952017060600675
"CR","L23IT","Syndig1l",8.15000335801579e-77,6.20161768396008,6.3044749614014,0.102857277441313,0.833333333333333,0.0261832829808661,0.968580060422961
"CR","L23IT","Ifitm2",2.87937242427009e-74,5.41777899409632,5.7214019071952,0.303622913098883,0.722222222222222,0.080563947633434,0.888449918661399
"CR","L23IT","Cobll1",4.22844905311074e-73,2.76235829518946,2.79312353346786,0.0307652382784016,0.555555555555556,0.00704934541792548,0.987311178247734
"CR","L23IT","Fibin",2.64394430544864e-70,5.24965912761948,5.37061330424928,0.120954176629799,0.611111111111111,0.027190332326284,0.955506728920626
"CR","L23IT","Tmem176b",1.98375589436594e-55,7.33296727528611,7.3584889696578,0.0255216943716909,0.777777777777778,0.00604229607250755,0.992231333621062
"CR","L23IT","Pou6f2",3.04511908619824e-50,3.97609766974402,3.9990526024409,0.0229549326968817,0.611111111111111,0.00704934541792548,0.98846470749794
"CR","L23IT","Slc17a7",0,-7.60866035713748,1.30702557378386,8.91568593092134,0.166666666666667,1,0.833333333333333
"CR","L23IT","Dlgap1",1.07744031000157e-280,-7.88661374911648,0.948278711405215,8.83489246052169,0.222222222222222,1,0.777777777777778
"CR","L23IT","Cadm1",1.03946316248246e-157,-7.85556867586247,1.28473830182626,9.14030697768873,0.166666666666667,1,0.833333333333333
"CR","L23IT","Nrgn",1.91092454416838e-148,-9.82074864867432,0.697257045621977,10.5180056942963,0.222222222222222,1,0.777777777777778
"CR","L23IT","Camk2n1",1.83429714680285e-139,-8.45574584091438,1.32863505289006,9.78438089380442,0.277777777777778,1,0.722222222222222
"CR","L23IT","Ncald",7.28194357875407e-135,-7.88840631311205,1.41269898860922,9.30110530172128,0.222222222222222,0.997985901309164,0.777329297006391
"CR","L23IT","Itpka",8.92175814890676e-131,-8.78319680236733,0,8.78319680236734,0,1,1
"CR","L23IT","Sv2b",2.61611670659983e-119,-6.59441447580483,1.47148093641773,8.06589541222256,0.222222222222222,0.998992950654582,0.77755376344086
"CR","L23IT","Slc12a5",4.50817920986221e-112,-6.42046802694729,0.996265079057265,7.41673310600455,0.222222222222222,1,0.777777777777778
