"sample_id","cre_label","Pvalb","Sst","Htr3a","Cacna1a","Cacna1b","Cacna1c","Cacna1d","Cacna1e","Cacna1f","Cacna1g","Cacna1h","Cacna1i","Cacna1s","Cacna2d1","Cacna2d2","Cacna2d3","Cacna2d4","Hcn1","Hcn2","Hcn3","Hcn4","Kcnab1","Kcnab2","Kcnab3","Kcnb1","Kcnb2","Kcnc2","Kcnc3","Kcnc4","Kcnd3os","Kcne1","Kcne1l","Kcne2","Kcne3","Kcne4","Kcnf1","Kcng1","Kcng2","Kcng3","Kcng4","Kcnh1","Kcnh2","Kcnh3","Kcnh4","Kcnh5","Kcnh6","Kcnh7","Kcnh8","Kcnip1","Kcnip2","Kcnip3","Kcnip4","Kcnj1","Kcnj10","Kcnj11","Kcnj12","Kcnj13","Kcnj14","Kcnj15","Kcnj16","Kcnj2","Kcnj3","Kcnj4","Kcnj5","Kcnj6","Kcnj8","Kcnj9","Kcnk1","Kcnk10","Kcnk12","Kcnk13","Kcnk15","Kcnk16","Kcnk18","Kcnk2","Kcnk3","Kcnk4","Kcnk5","Kcnk6","Kcnk7","Kcnk9","Kcnma1","Kcnmb1","Kcnmb2","Kcnmb3","Kcnmb4","Kcnmb4os1","Kcnmb4os2","Kcnn1","Kcnn2","Kcnn3","Kcnn4","Kcnq1","Kcnq1ot1","Kcnq2","Kcnq3","Kcnq4","Kcnq5","Kcnrg","Kcns1","Kcns2","Kcns3","Kcnt1","Kcnt2","Kcnu1","Kcnv1","Kcnv2","Nav1","Nav2","Nav3","Scn10a","Scn11a","Scn1a","Scn1b","Scn2a1","Scn2b","Scn3a","Scn3b","Scn4a","Scn4b","Scn5a","Scn7a","Scn8a","Scn9a","Scnm1","Scnn1a","Scnn1b","Scnn1g","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcna1","Kcna2","Kcna3","Kcna4","Kcna5","Kcna6","Kcna7","Kcna10"
"LS-15061_S49_E1-50","Pvalb-IRES-Cre",9.86609699585746,0,0,6.43673786516159,2.76432065052787,5.30846764105381,0,0,0,0,0,0,0,0,4.24994955429978,0,0,8.47988657746561,5.21153001692452,0,0,9.41938093357519,4.04013959898814,8.15441163932913,4.77590199289889,0,8.64675781963457,3.41374748851907,0,0,0,0,3.12527195030935,0,0,0,0,3.98254682026573,0,0,6.15330207841018,3.6540413321887,0,0,4.80941304504294,0,5.69657537219145,0,9.15350956795023,6.38210583710301,3.6540413321887,7.08274574811125,0,0,0.717042568355494,4.87418664458482,3.22797443108884,0,0,0,0,6.43673786516159,4.38943431767778,0,4.04013959898814,0,4.38943431767778,9.2542893377941,0,3.12527195030935,0,0,0,0,1.55160294779606,5.94293750189589,0,0,0,0,0,6.61787353477882,0,6.9003938795469,0,0,0,0,5.30846764105381,5.0526960158669,0,0,0,6.63666461058575,6.3483051885805,3.22797443108884,0,0,0,0,0.717042568355494,7.10989635775263,5.42114171683741,0,4.20028773681104,0,0,5.97282249363007,3.41374748851907,5.80022056025291,0,0,8.66974751104035,8.31176632712874,5.81679329942292,6.01652036065793,0,0,0,0,0,0,7.23231212066539,0,5.86539898439823,0,0,0,8.79003202764095,4.14885528148302,5.46385765743862,3.22797443108884,7.39566529238153,7.37902203557625,0,0,0,6.33686000538517,0,0
"LS-15061_S50_E1-50","Pvalb-IRES-Cre",10.0691669450378,0,0,5.38251438708485,0,0,5.15819009118368,0,0,0,0,0,0,0,3.27457339062174,0,0,9.33339493116825,5.69286255870346,0,0,8.71712013583481,6.02407534834532,7.62865122524269,4.08909508672536,0.73765952414953,8.29788014571332,3.774196881437,0,0,0,0,0,0,0,0,0,5.53567536476435,0,0,0,4.08909508672536,0,0,0,1.87573056063571,7.71367963940878,0,6.74318498810224,8.3724163701989,0,8.05157620874521,0,0,0,0,0,0,0,0,0,6.68821789983886,2.94010757310906,0,5.81762036864797,0,6.46660062747042,8.62256054559431,0,2.66442552982213,0,0,0,0,1.58611886533089,6.06779752172834,0,0,0,0,0,6.1102335378598,0,6.92058311311361,0,2.50392865628268,0,0,4.3939690886287,5.90055842844288,0,0,0,7.16830369410221,6.57157156397793,0,0,0,0,0,0,7.61397953418354,6.16494036459759,0,0,0,0,7.40828332977086,1.22338364773775,6.99040523932405,0,0,8.53959503040155,8.53700490455629,7.24648300643361,7.78527029422109,2.80884150638733,0,0,0,0,0,7.41394100461379,3.84291553046529,5.63590532305451,0,0,0,7.97327084845072,0,5.71135932965539,0,6.73416801319046,7.27784742309569,0,0,3.84291553046529,6.38829453757631,0,0
"LS-15061_S51_E1-50","Pvalb-IRES-Cre",4.01588558924669,8.94815533243328,0,5.61973448275565,3.35589940815505,4.84372242079322,5.29545906567074,4.07356546374387,0,0.73107555832695,0,0,0,0,3.15680322259236,7.91010317348236,0,8.17015593550894,4.46702087136451,6.00782577478067,0,9.36679478463546,5.29545906567074,6.80553991487493,4.8101819024335,0,9.60546826510917,1.86374201120895,5.65794599171675,0,0,0,0,0,0,0,0,0,0,0,5.00063900744875,5.51952853534203,0,0,0,3.61092369185379,5.69517148273557,0,5.73146056519925,8.40453090820304,0,9.8354324976925,0,0,4.2339382611093,0,0,0,0,0,0,7.20449773188809,4.66763192638987,0,0,0,7.04783656629901,7.15859314680767,0,3.04590372051801,0,0,0,0,5.56044983846123,3.04590372051801,0,0,0,0,0,7.16524104992581,0,5.63896674324565,0,5.34314363922013,0,0,0,0,0,0,0,4.97059143708934,3.44601022609648,0,1.21397070443669,0.73107555832695,0,0,0,8.12994027759119,4.42331993850597,0,0,0,0,6.39479516315636,2.10412879889233,4.3782537912983,0,0,8.25362477933206,6.69042821125083,6.82246168588531,5.60024237320228,0,6.77977918585596,0,0,0,0,6.54508269004422,0,5.61973448275565,0,0,0,7.16524104992581,4.90855107004182,6.81402561025717,0,5.16885995510202,8.19310758096115,0,0,0,7.2173494502998,0,0
"LS-15061_S52_E1-50","Pvalb-IRES-Cre",10.7114378314493,0,0,4.70001235342515,3.81976597131329,5.11850940297072,3.61430166991746,0,0,0,0,0,0,0,4.39189412880013,0,0,8.36204869475046,5.74103083341876,1.16967809504836,0,9.61334556989931,7.13270091719394,7.51919421341215,5.19432452978218,0,9.31527189366012,6.77763671798257,0,0,0,0,0,0,0,5.44250925296434,0,0,0,5.19432452978218,0,6.2593046031167,0,0,0,2.04405741834348,6.13655296672385,0,8.16572016824563,8.13077102863252,0,4.34830550957145,0,0,1.80703746321763,0,0,0,0,0,0,6.43627221185419,2.04405741834348,0,4.55416330580319,0,5.42163067225368,7.81973646742449,0,4.80047138517336,0,0,0,0,6.77763671798257,5.16949288751833,0,0,0,0,0,7.38542059658082,0,6.04395639271389,0,2.4259029937256,0,0,4.62893011885436,1.80703746321763,0,0,0,8.07837513214839,6.39402351682791,4.25696662398745,0,0,0,4.30335879393229,5.59947754579539,8.156272239992,6.16195307316373,0,0,0,0,6.5367787249227,3.999583320945,5.3789445845029,0,0,8.44973705622086,8.82650216734944,3.999583320945,6.63073707830279,0,0,0,3.45902756798865,0,0,8.35930645159644,2.04405741834348,4.92438267633947,0,0,0,9.11036586899456,0,3.94209895565842,0,7.94573258123914,8.88487153917002,4.76775617578918,0,0,5.88525942986646,0,0
"LS-15061_S53_E1-50","Pvalb-IRES-Cre",10.4891075139131,0.695172947982277,0,2.41509599886117,5.45010327278493,0.695172947982277,5.22980447711425,0,0,0,0,4.6872365654728,0,0,6.44380410432509,0,0,7.95786473012918,5.58646353701762,0,0,9.08892318944859,6.08449971929578,8.39198022245797,0.695172947982277,0,9.21450665028435,4.421532407707,0,0,0,0,0,0,0,7.08044488361286,0,0,0,0,5.6589620922661,1.16231125865946,0,0,0,0.695172947982277,5.13131447815359,0,6.98496453835861,7.70315125365452,0.695172947982277,5.62316816794042,0,0,4.6872365654728,4.8815477330229,0,0,0,0,0,6.18612627888553,0,0,4.50256916332098,0,7.13229577818666,8.39993459546504,0,4.09559039864293,0,0,0,0,3.60210208402326,6.38089291912152,0,0,0,0,0,5.56775499042114,0,7.38829391406837,0,3.52661156592724,0,0,0,6.24618954183827,0,0,0,6.66235818349659,3.44695176207485,3.92967794642369,0,3.74217551599615,0,0,0,7.76604834920547,5.10560432211051,0,0,0,0,6.60845810748758,4.14690932310595,6.64461430341234,0,0,8.68673908896569,8.55994960550281,5.32199829410151,5.94648979141913,4.24437539805368,3.44695176207485,0,0,0,0,8.003823853501,1.16231125865946,5.97516818307135,0,0,0,9.12935488752734,0,2.41509599886117,4.91153293222835,7.84586040083519,7.79448754118675,0,0,0,7.69885898820898,0,0
"LS-15061_S54_E1-50","Pvalb-IRES-Cre",10.5128272073135,0,0,3.64232093382997,2.45076309303147,4.89320505621976,0.712067715196155,0,0,0,0,0,0,0,5.34217487702942,0,0,8.11871906157622,2.61003909238999,1.54322407156978,0,8.88834556965157,6.4241492813693,7.71639622833604,3.78272366526024,3.00353983504093,9.10446088183919,5.91523348827008,0,0,0,0,0,0,0,0,0,0,0.712067715196155,4.82987300466409,5.01209323308364,0,0,0,0,1.54322407156978,6.59578026293144,0,7.46345348621471,7.21966094425582,5.04034514381704,0,0,0,5.0952414975603,4.18824721812659,0,0,0,0,0,7.64919177485675,3.40221112003121,0,2.7534660249255,0,4.62126422844774,9.05512252491597,0,2.45076309303147,0,0,0,0,4.33231470043857,6.46640833037708,3.91066611112278,0,0,0,0,6.07398362904173,0,5.86872442917511,0,0,0,0,4.13684000697948,5.7194620096192,0,0,0,7.73811958797513,5.29605416683683,2.06720894710661,0,0,0,3.00353983504093,4.6581949564217,7.1435675231326,5.19913897334452,0,1.82887571948183,0,0,6.21698409043587,4.33231470043857,6.11441034458009,0,0,8.20860226963227,8.88445463097993,3.84811271279086,6.41338823340305,1.54322407156978,0.712067715196155,0,5.12192571152216,0,0,8.17395579402947,0.712067715196155,6.20455416974481,3.40221112003121,0,0,8.75618798427062,0,4.62126422844774,0,8.11540303075825,7.67194287805088,0,0,0,6.45595904818241,0,0
"LS-15061_S55_E1-50","Pvalb-IRES-Cre",9.94721490806701,0,0,3.97908059694663,6.15970200645185,0,3.37835640454685,0,0,0,0,0,0,0,4.96396831716372,4.25749447435875,0,8.57103960715447,1.22817055823527,5.98721681374446,0,8.79252600407421,6.5798462985768,8.24687473144088,6.62960292416867,4.57445603158432,8.64064171584297,5.52294584690309,0,0,0,0,0,0,0,1.59170141451706,0,2.81601347225921,0,0,4.96396831716372,0,0,0,5.45832667283561,3.97908059694663,7.08683766970429,0,0.741012718608199,7.9545238115094,0,0,0,0,0,0,0,0,0,0,0,7.49385617061663,0.741012718608199,0,0,0,6.6777005673207,8.78815081368444,0,0,0,0,0,0,0,6.79573031580901,0,0,0,0,0,7.82383307652544,0,6.15970200645185,0,0,0,0,0,4.65355028255709,3.70976216320406,0,0,6.72424629518887,7.91494008162325,7.31076666025032,0,6.04703269512689,1.22817055823527,0,0,7.44466667147755,0,0,0,0,0,7.12896529019286,0,0,0,0,8.65031632270858,8.67895686641569,4.49077271407539,1.22817055823527,0,0,0,0,0,0,7.02124586144895,2.81601347225921,7.55178457770764,0,0,0,8.85242502621914,0,4.93259701144823,2.12325009896931,7.20970050175516,7.66109823695263,0,0,0,4.83416988818726,0,0
"LS-15061_S56_E1-50","Pvalb-IRES-Cre",9.91280194339604,0,0,5.41716313565678,4.99914538805495,4.57055932271726,0,4.81698115574921,0,0,0,0,0,0,3.20468259135074,0,0,8.34866127905259,5.35165582468559,5.72371795617873,0,7.49130291390048,6.1788360072325,8.45386024995743,5.25941233958889,0,9.4215271786479,4.49166424502987,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84898431927093,0,0,0,4.53165102273372,6.31108570391895,0,7.66315214494748,8.53970293899149,0,7.67212467097056,0,0,2.87236844312944,2.87236844312944,0,0,0,0,0,6.08789197904961,3.701888354564,0,5.77459303394522,0,5.25941233958889,8.83562100959054,0,3.30037686819337,0,0,0,0,1.17921333480388,6.47386837055095,0,0,0,0,0,7.28452568713224,0,5.2830320054493,0,0.7068764667415,0,0,0,4.78425193261157,0,0,0,7.31921008195799,0,0,0,0,0,0,6.28792456475098,7.24898684700614,5.82373500004077,0,0,0,0,6.70126362615673,1.53445956500654,4.97033754982111,0,0,9.20986518128332,8.72356414460301,2.43985295183002,7.02217169772341,0,4.78425193261157,0,4.97033754982111,0,0,6.80279558596827,2.43985295183002,5.57856766129389,0,0,0,8.10208760009863,3.8356808499716,6.52428861187352,0,7.65864486880204,7.61743288496458,3.9581118997643,0,0,7.31348694760717,0,0
"LS-15061_S57_E1-50","Pvalb-IRES-Cre",9.55117974041286,0,0,3.31134870631348,2.06632756676041,0,0.711616829221829,0,0,5.06693121862682,0,1.54246369002636,0,0,2.06632756676041,0,0,8.13075389544047,4.86076863276555,0,0,8.73358201050423,6.28825233791395,8.19808166576423,4.46218760881254,0,9.74373771232021,5.98842480471204,0,0,0,0,0,0,0,0,0,5.03922261763995,0,0,0,1.82804397231604,0,0,0,2.44981720484125,8.01461143644712,0,6.36837923865022,8.48412805553925,0,7.67079083640086,0,2.88291374484285,5.29492592422647,1.18604205696251,0,0,0,0,0,6.0452489017513,0.711616829221829,0,1.82804397231604,0,5.68295057692101,8.64902946012396,0,4.23678916011125,0,0,0,0,2.75248004597377,6.34593631484042,0,0,0,0,0,8.31823348319716,0,6.60412170303774,0,0,0,0,0,2.27077719871627,0,0,0,6.54623957088515,0,6.01711660477407,0,5.81952871084003,0,0,0,6.20341215313713,5.38573669919983,0,0,0,0,3.64125596342726,3.11297708648471,6.84721112596827,0,0,8.83778272138688,8.71837429919454,6.65064378958967,6.90975365690047,0.711616829221829,4.37620633492158,0,2.06632756676041,0,0,5.66493203489336,0.711616829221829,5.98842480471204,0,0,0,8.7007954679432,0,6.86310277370299,5.24728296710398,8.20744846380701,7.86874856886221,0,0,0,6.72209295481992,0,0
"LS-15061_S58_E1-50","Pvalb-IRES-Cre",9.78706685436974,0,0,2.67750386534957,0,0.743889820897945,5.42056575789143,0,0,0,0,0,0,0,4.408749368999,0,0,7.60462450925502,1.88703400617974,0.743889820897945,0,7.73826657713071,5.14604170061411,7.02834298609883,1.23227403061401,0,9.14392245111455,4.15923575293555,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62140590909752,0,0,0,4.66041883985449,7.61954999133181,0,5.59179773710675,7.99636768919905,0,6.06865226614805,0,0,5.79829658643592,5.27732884636552,0,0,0,0,0,6.41507639912696,4.87463828543823,0,3.1852672880893,0,5.96338954170905,8.4642827477146,0,0,0,0,0,0,6.36871412373629,4.36217999802226,0,0,0,0,0,7.31787377156136,0,6.77642377934502,0,0,0,0,4.21271032705682,0,0,0,0,7.84795260510188,5.17327232914582,0.743889820897945,0,0,0,0,2.12876367506912,8.15161395245315,4.87463828543823,0,0,0,0,5.57147264924373,4.15923575293555,3.6403486336602,0,0,8.22501845274085,8.51571806881305,5.46531644317378,5.50872067603972,4.66041883985449,1.88703400617974,0,0,0,0,7.65378710855671,0,5.06112310268075,0,0,0,8.33460751484217,4.26427346382429,2.12876367506912,1.23227403061401,7.29945474063382,7.81807166134181,0,0,0,7.28704343253227,0,0
